factor,comparison,model,precision,metric,n_devices,matched_pairs_per_device,geometric_mean_ratio,ci95_low_device_block,ci95_high_device_block,sd_log_ratio_across_devices,device_ratios
batch,128/1,mobilenet_v2,fp16,throughput_img_s,3,3,10.683668007315548,8.395951386729879,13.594738324824224,0.09700211381940961,9.55195|11.3273|11.2705
batch,128/1,mobilenet_v2,fp16,task_energy_per_eval_image_J,3,3,0.42448073186336227,0.3767324526862674,0.4782807810648262,0.04803733425420494,0.448618|0.411386|0.414427
batch,128/1,mobilenet_v2,fp16,task_throughput_img_s,3,3,2.6223442970526714,2.1341168612633266,3.2222647864812313,0.08293250958519463,2.38321|2.76328|2.7383
batch,128/1,mobilenet_v2,fp16,time_weighted_avg_power_W,3,3,1.1131346264106323,1.0206373073338715,1.214014702001299,0.03492269346235896,1.06915|1.13677|1.13483
batch,128/1,mobilenet_v2,fp32,throughput_img_s,3,3,4.99371376142134,3.508891547499794,7.106853202338916,0.142053189275603,5.00195|4.32888|5.75116
batch,128/1,mobilenet_v2,fp32,task_energy_per_eval_image_J,3,3,0.5497549590218969,0.4500405326256998,0.6715628772498445,0.08056517871132514,0.550034|0.595727|0.507073
batch,128/1,mobilenet_v2,fp32,task_throughput_img_s,3,3,2.118969408589058,1.4864173656513724,3.0207070088747634,0.14273003817477883,2.13779|1.82939|2.43278
batch,128/1,mobilenet_v2,fp32,time_weighted_avg_power_W,3,3,1.1649139403875308,0.9974237037426067,1.3605296158666336,0.0624872096519768,1.17585|1.08982|1.2336
batch,128/1,mobilenet_v2,fp64,throughput_img_s,3,3,0.9344057836711196,0.8257254918343705,1.0573903521113217,0.04977518647346334,0.958376|0.882329|0.964806
batch,128/1,mobilenet_v2,fp64,task_energy_per_eval_image_J,3,3,1.1046711749437974,0.9705617737129842,1.2573114229332696,0.0521017565998061,1.07088|1.17316|1.07301
batch,128/1,mobilenet_v2,fp64,task_throughput_img_s,3,3,0.8730499109849258,0.7673222112838337,0.993345606137865,0.05196407562631184,0.899431|0.822206|0.899848
batch,128/1,mobilenet_v2,fp64,time_weighted_avg_power_W,3,3,0.9644330709522959,0.9614850530690522,0.9673901277794236,0.001232386580180194,0.96318|0.964576|0.965544
batch,128/1,resnet50,fp16,throughput_img_s,3,3,6.322858646790318,4.957629879290707,8.06404319013239,0.09791874365988654,6.05766|7.07248|5.90016
batch,128/1,resnet50,fp16,task_energy_per_eval_image_J,3,3,0.4520513134141617,0.38517554404192444,0.5305383301729721,0.06444751793158557,0.464405|0.419996|0.47361
batch,128/1,resnet50,fp16,task_throughput_img_s,3,3,2.6426424129092134,2.04929828581676,3.407780590478214,0.10236223797420424,2.54078|2.96824|2.44708
batch,128/1,resnet50,fp16,time_weighted_avg_power_W,3,3,1.1946099736395792,1.0869952286230755,1.3128787979381393,0.038002132947030864,1.17995|1.24665|1.15896
batch,128/1,resnet50,fp32,throughput_img_s,3,3,2.1109877508517907,1.3772803432370258,3.2355571660688347,0.17190881786319107,1.78729|2.08908|2.51946
batch,128/1,resnet50,fp32,task_energy_per_eval_image_J,3,3,0.6704938449045118,0.5812544343485018,0.7734340926942371,0.05749517681230094,0.707262|0.675531|0.630898
batch,128/1,resnet50,fp32,task_throughput_img_s,3,3,1.526290488539057,1.0161571496438522,2.292522033842176,0.16376397340908724,1.29644|1.52463|1.79885
batch,128/1,resnet50,fp32,time_weighted_avg_power_W,3,3,1.0233683781017378,0.7849401925475114,1.334219915404817,0.10677639517930627,0.916923|1.02994|1.13489
batch,128/1,resnet50,fp64,throughput_img_s,3,3,1.2603916897455163,0.9638515114227135,1.6481659184563502,0.10798135960687431,1.18189|1.18657|1.42773
batch,128/1,resnet50,fp64,task_energy_per_eval_image_J,3,3,0.9911896260656908,0.8342039093319443,1.1777178982618592,0.06941160924164963,1.03337|1.03004|0.914866
batch,128/1,resnet50,fp64,task_throughput_img_s,3,3,1.1239820388804302,0.869208698457121,1.4534318696629225,0.10347646739088097,1.05395|1.0638|1.26648
batch,128/1,resnet50,fp64,time_weighted_avg_power_W,3,3,1.1140793368224464,1.0235564874831367,1.212607983939128,0.03411447016015661,1.08912|1.09576|1.15866
