factor,included_profiles,comparison,model,precision,metric,n_devices,matched_pairs_per_device,geometric_mean_ratio,ci95_low_device_block,ci95_high_device_block,sd_log_ratio_across_devices,device_ratios
batch,slow|medium,128/1,mobilenet_v2,fp16,throughput_img_s,3,2,11.020199171811926,10.721640804948063,11.32707129400914,0.011056421311024536,10.906|11.1488|11.0071
batch,slow|medium,128/1,mobilenet_v2,fp16,task_energy_per_eval_image_J,3,2,0.4170541878786686,0.40771160181795973,0.4266108564278634,0.009120305218204386,0.421124|0.413573|0.4165
batch,slow|medium,128/1,mobilenet_v2,fp16,task_throughput_img_s,3,2,2.7367316862695534,2.6697850696034897,2.8053570333825215,0.009969826626996824,2.72236|2.76838|2.71972
batch,slow|medium,128/1,mobilenet_v2,fp16,time_weighted_avg_power_W,3,2,1.141365410858968,1.1228484857045289,1.160187699133668,0.006584388226233017,1.14645|1.14493|1.13276
batch,slow|medium,128/1,mobilenet_v2,fp32,throughput_img_s,3,2,5.040052227405016,4.8533602752412985,5.23392557205272,0.015194463305939704,5.0947|5.07339|4.95323
batch,slow|medium,128/1,mobilenet_v2,fp32,task_energy_per_eval_image_J,3,2,0.5551150420927651,0.5516704886200859,0.5585811028761866,0.0025056775860845828,0.556686|0.554034|0.554629
batch,slow|medium,128/1,mobilenet_v2,fp32,task_throughput_img_s,3,2,2.1291187339846087,2.056854212204969,2.2039221625458048,0.01390036464597697,2.1622|2.12093|2.10463
batch,slow|medium,128/1,mobilenet_v2,fp32,time_weighted_avg_power_W,3,2,1.1819058356363608,1.1354359065985264,1.2302776371552677,0.016147097828003,1.20367|1.17507|1.16729
batch,slow|medium,128/1,mobilenet_v2,fp64,throughput_img_s,3,2,0.9462134938699924,0.8942179588984653,1.0012323808443195,0.022751829171288214,0.951192|0.922928|0.965009
batch,slow|medium,128/1,mobilenet_v2,fp64,task_energy_per_eval_image_J,3,2,1.088239479931663,1.0229768827311414,1.1576656185232534,0.02489569920548052,1.07756|1.1195|1.06834
batch,slow|medium,128/1,mobilenet_v2,fp64,task_throughput_img_s,3,2,0.8854077335768491,0.8315099584152242,0.9427991171288168,0.025282406652808176,0.892448|0.860707|0.903633
batch,slow|medium,128/1,mobilenet_v2,fp64,time_weighted_avg_power_W,3,2,0.9635356515151429,0.9589146163384551,0.9681789555839095,0.0019352600207752499,0.961662|0.963557|0.965391
batch,slow|medium,128/1,resnet50,fp16,throughput_img_s,3,2,6.0301952030418,5.610361104602861,6.481446293529153,0.029050038719715284,6.21503|6.01552|5.86513
batch,slow|medium,128/1,resnet50,fp16,task_energy_per_eval_image_J,3,2,0.4635910032196274,0.439566694073761,0.48892834958536857,0.021421215574309163,0.454153|0.462843|0.47399
batch,slow|medium,128/1,resnet50,fp16,task_throughput_img_s,3,2,2.528027166156313,2.3569466928191996,2.711525624357667,0.02820786256836745,2.60342|2.52164|2.46103
batch,slow|medium,128/1,resnet50,fp16,time_weighted_avg_power_W,3,2,1.1719706501248766,1.1499312378313236,1.1944324665398804,0.0076422900384303565,1.18235|1.16712|1.1665
batch,slow|medium,128/1,resnet50,fp32,throughput_img_s,3,2,2.1502594346746555,2.0933359813258763,2.2087307903047964,0.010800345426919614,2.13871|2.13515|2.17716
batch,slow|medium,128/1,resnet50,fp32,task_energy_per_eval_image_J,3,2,0.6706365497122917,0.6547717522132658,0.6868857434514339,0.009637400709544238,0.66393|0.676809|0.671233
batch,slow|medium,128/1,resnet50,fp32,task_throughput_img_s,3,2,1.5485157824462852,1.512858716679634,1.5850132613493844,0.009377846284601499,1.53552|1.54593|1.56424
batch,slow|medium,128/1,resnet50,fp32,time_weighted_avg_power_W,3,2,1.0384912815148066,0.9977767202900863,1.080867211923646,0.016100042967938658,1.01948|1.0463|1.04997
batch,slow|medium,128/1,resnet50,fp64,throughput_img_s,3,2,1.17511051405731,1.1583218454481028,1.192142516930459,0.005792724341142219,1.17641|1.18119|1.16777
batch,slow|medium,128/1,resnet50,fp64,task_energy_per_eval_image_J,3,2,1.0351656435517704,1.0215790245962661,1.0489329594579733,0.005318530578080676,1.03672|1.02907|1.03974
batch,slow|medium,128/1,resnet50,fp64,task_throughput_img_s,3,2,1.0505496313204405,1.0274281791509894,1.0741914133399704,0.008958730105654142,1.054|1.05778|1.03996
batch,slow|medium,128/1,resnet50,fp64,time_weighted_avg_power_W,3,2,1.0874928851888992,1.0732198754460751,1.1019557151277328,0.005318377619386654,1.0927|1.08853|1.08128
