model,precision,objective,profile,batch,forward_throughput_mean,forward_throughput_sd,task_energy_mJ_mean,task_energy_mJ_sd,task_throughput_mean,task_throughput_sd
mobilenet_v2,fp16,maximum forward throughput,medium,128,369.5530412133176,1.2486801658657258,103.36576666666667,5.389471840564093,58.662620652521575,0.10507473555170793
mobilenet_v2,fp16,minimum whole-task energy,medium,64,336.7532867135241,1.6825714693656768,99.43019333333332,2.774998984222028,61.08037545947204,0.7089904938852444
mobilenet_v2,fp16,maximum whole-task throughput,medium,64,336.7532867135241,1.6825714693656768,99.43019333333332,2.774998984222028,61.08037545947204,0.7089904938852444
mobilenet_v2,fp32,maximum forward throughput,fast,64,205.20992271870634,0.9439973011979111,133.04246333333333,5.639584884070236,54.99232048923269,0.761811610410008
mobilenet_v2,fp32,minimum whole-task energy,medium,32,175.53877605968947,0.9763851695076038,131.89045,8.48047013768105,51.37472794159161,2.081907082228894
mobilenet_v2,fp32,maximum whole-task throughput,fast,64,205.20992271870634,0.9439973011979111,133.04246333333333,5.639584884070236,54.99232048923269,0.761811610410008
mobilenet_v2,fp64,maximum forward throughput,medium,32,23.330815048814753,0.03086177569780926,376.7590366666667,11.11072206796814,17.019394050419738,0.2754494304928695
mobilenet_v2,fp64,minimum whole-task energy,medium,32,23.330815048814753,0.03086177569780926,376.7590366666667,11.11072206796814,17.019394050419738,0.2754494304928695
mobilenet_v2,fp64,maximum whole-task throughput,medium,32,23.330815048814753,0.03086177569780926,376.7590366666667,11.11072206796814,17.019394050419738,0.2754494304928695
resnet50,fp16,maximum forward throughput,medium,128,182.06029553186076,0.6960792809873605,143.0835766666667,5.860390917552635,50.98704611727003,0.31830036975848724
resnet50,fp16,minimum whole-task energy,medium,128,182.06029553186076,0.6960792809873605,143.0835766666667,5.860390917552635,50.98704611727003,0.31830036975848724
resnet50,fp16,maximum whole-task throughput,medium,128,182.06029553186076,0.6960792809873605,143.0835766666667,5.860390917552635,50.98704611727003,0.31830036975848724
resnet50,fp32,maximum forward throughput,medium,128,80.57089282482137,0.33039318595904466,249.87129333333337,9.845829153983605,36.182199340918785,0.38689460277841653
resnet50,fp32,minimum whole-task energy,medium,64,79.06037869661564,0.2467712789852972,245.39599,9.911416988468394,36.28617112622509,0.3048527170534663
resnet50,fp32,maximum whole-task throughput,medium,32,75.95852432704784,0.6448081038916132,246.79469666666665,7.94065940197873,36.99147041976551,1.222847746195827
resnet50,fp64,maximum forward throughput,fast,16,2.435121922757721,0.006692825424157673,2718.811913333333,114.22914470119518,2.319875530136075,0.006688056225941147
resnet50,fp64,minimum whole-task energy,medium,16,2.4344091974098245,0.007133490483480792,2713.23155,119.96941877531653,2.3160795861400936,0.013105718364841104
resnet50,fp64,maximum whole-task throughput,fast,16,2.435121922757721,0.006692825424157673,2718.811913333333,114.22914470119518,2.319875530136075,0.006688056225941147
