model,precision,batch,profile,n_devices,throughput_mean,throughput_sd,task_energy_mJ_mean,task_energy_mJ_sd,task_throughput_mean,task_throughput_sd,max_temperature_C_mean
mobilenet_v2,fp16,1,fast,3,34.16418297595116,0.22635777790038442,261.04204000000004,9.350640551037115,22.425241379783795,0.11073843909219507,40.281
mobilenet_v2,fp16,1,medium,3,32.96085621859328,0.46296299397559254,241.46113333333332,10.912258893704497,21.46558071106492,0.3262642254870592,39.343333333333334
mobilenet_v2,fp16,1,slow,3,22.49817607188044,0.7031622317587415,330.1409766666667,19.76578577493022,14.831632455315757,0.2852798866553974,39.562000000000005
mobilenet_v2,fp16,4,fast,3,118.23312684626448,27.725964326596547,143.92505666666662,25.79601756587697,42.316367030455844,9.223853091189358,39.97866666666667
mobilenet_v2,fp16,4,medium,3,128.98409530267708,2.85093026934799,122.40246333333333,4.905702375168452,46.39707752898979,0.194229222191029,39.864333333333335
mobilenet_v2,fp16,4,slow,3,87.21268497743148,1.5794232993078168,166.0108666666667,6.94936780896171,31.413821856616696,0.0992770268972684,39.593333333333334
mobilenet_v2,fp16,8,fast,3,237.92049200114434,46.38155866402591,118.37605,15.598926612690382,53.37537359796054,12.02671767874099,39.385
mobilenet_v2,fp16,8,medium,3,172.85541369411456,0.8870759600738035,113.76538000000001,3.0866962202976884,52.04901616586372,1.2460669029794889,39.343333333333334
mobilenet_v2,fp16,8,slow,3,166.69519085364814,0.49767631554478536,140.54059333333333,4.77056493934768,38.44274095835507,0.23014170625339964,40.23933333333333
mobilenet_v2,fp16,16,fast,3,318.49262416976336,83.51282779945562,114.33872333333333,14.917596772075374,56.06797150035158,12.653714620044305,40.885
mobilenet_v2,fp16,16,medium,3,229.82782835430854,0.9813262539523749,108.33555333333334,5.727515241763501,55.31702623414793,1.527313266244574,40.76
mobilenet_v2,fp16,16,slow,3,194.31921158594432,0.15252849571966737,136.5124533333333,5.275042695650261,39.86202061797314,0.1115620940054385,39.22866666666667
mobilenet_v2,fp16,32,fast,3,227.0492847096164,0.09970893996133874,130.83023000000003,2.9806556419016346,41.894246672867176,0.6418923150002168,38.312000000000005
mobilenet_v2,fp16,32,medium,3,280.22409503424205,1.696787394891356,105.63507666666666,1.497186091350476,56.82857120496516,2.1562378264905173,40.77066666666666
mobilenet_v2,fp16,32,slow,3,211.31847763871133,0.274566715241151,133.1273666666667,4.2243551316660675,40.82874932958628,0.28366441349335847,40.916333333333334
mobilenet_v2,fp16,64,fast,3,293.43780302153465,88.24409605146047,123.87938666666666,19.576502334258617,48.54743876678733,12.632253095771825,39.89566666666666
mobilenet_v2,fp16,64,medium,3,336.7532867135241,1.6825714693656768,99.43019333333332,2.774998984222028,61.08037545947204,0.7089904938852444,41.67666666666667
mobilenet_v2,fp16,64,slow,3,233.29250354410797,0.13316304172265286,132.7920566666667,6.364434415227586,40.93941941789709,0.1845417941818017,40.114000000000004
mobilenet_v2,fp16,128,fast,3,351.461695019385,88.87215590278454,115.23111666666668,13.23109403295636,55.01701210925935,12.356314764889996,40.791333333333334
mobilenet_v2,fp16,128,medium,3,369.5530412133176,1.2486801658657258,103.36576666666667,5.389471840564093,58.662620652521575,0.10507473555170793,41.291333333333334
