outcome,term,order,df,ss,ms,f,p,variance_share,partial_eta_squared,omega_squared,scale
throughput_img_s,Model,1,1,29.206428253015034,29.206428253015034,1313.372516969265,9.317204006795648e-81,0.20656093693456878,0.8877902637125652,0.20637120465137873,natural logarithm
throughput_img_s,Precision,1,1,16.404382328039087,16.404382328039087,737.6822910647655,5.68051369473107e-63,0.11601913640921961,0.8163071229332046,0.11584364186737517,natural logarithm
throughput_img_s,Batch,1,6,72.10264158226664,12.017106930377773,540.3926094321291,3.7807083396671087e-106,0.5099421631316011,0.9512961625120001,0.508918471619439,natural logarithm
throughput_img_s,Profile,1,2,6.525207483020274,3.262603741510137,146.71475918724025,2.0174510473259294e-37,0.04614918879188817,0.6386823367655415,0.04582743085538201,natural logarithm
throughput_img_s,Model:Precision,2,1,1.3309250256040435,1.3309250256040435,59.84985002726298,9.432755930942579e-13,0.009412897664063252,0.26499840500243116,0.009254167004141601,natural logarithm
throughput_img_s,Model:Batch,2,6,3.4890428062729657,0.5815071343788276,26.149568242253782,8.980922324845313e-22,0.02467607284345568,0.48590482568150245,0.023728689655595037,natural logarithm
throughput_img_s,Model:Profile,2,2,0.3107955709999559,0.15539778549997796,6.9880225991854,0.0012194130652808121,0.0021980854277940643,0.07765503005117326,0.0018832388232685178,natural logarithm
throughput_img_s,Precision:Batch,2,6,5.496303167709418,0.9160505279515697,41.193520041005954,1.7554594975936332e-30,0.038872316812011906,0.5982196971942866,0.03792270125801174,natural logarithm
throughput_img_s,Precision:Profile,2,2,0.12026185755994309,0.060130928779971546,2.704004358057654,0.06988584267160936,0.0008505457004147392,0.031550501966754727,0.0005359109971544657,natural logarithm
throughput_img_s,Batch:Profile,2,12,0.8112223116216646,0.06760185930180539,3.039961728077745,0.0006878646019337132,0.005737327388996959,0.18016408277184004,0.003849419464269124,natural logarithm
throughput_img_s,Model:Precision:Batch,3,6,0.6245832046157789,0.10409720076929647,4.681106549538872,0.00019947958946766665,0.0044173320620166,0.1447118637271062,0.003473134570812755,natural logarithm
throughput_img_s,Model:Precision:Profile,3,2,0.19123873459502155,0.09561936729751078,4.2998701522352745,0.015113082539545374,0.0013525259526402744,0.04925402689301912,0.0010378123127457576,natural logarithm
throughput_img_s,Model:Batch:Profile,3,12,0.249521907946724,0.020793492328893666,0.9350544722551262,0.5134978540664619,0.0017647306491801445,0.06331459361470011,0.0,natural logarithm
throughput_img_s,Precision:Batch:Profile,3,12,0.4355790336162873,0.036298252801357275,1.6322820178596777,0.08699515285791844,0.0030806099435848064,0.10554264934138324,0.0011931197889432376,natural logarithm
throughput_img_s,Model:Precision:Batch:Profile,4,12,0.3233797700974037,0.026948314174783643,1.211828262915388,0.27867747692118533,0.00228708651802055,0.08054604499678744,0.00039972114531637684,natural logarithm
throughput_img_s,Device block,0,2,0.08078661308639422,0.04039330654319711,1.8164308974642687,0.1658220297512427,0.0005713590976045974,0.021416026095936253,0.00025676829657086345,natural logarithm
throughput_img_s,Device-by-configuration residual,-1,166,3.6914637906299,0.02223773367849337,,,0.026107684672939474,,,natural logarithm
task_energy_per_eval_image_J,Model,1,1,13.242589873437637,13.242589873437637,2724.4551215716324,6.49668842813302e-105,0.33817887080583825,0.9425695978598206,0.3380127870814721,natural logarithm
task_energy_per_eval_image_J,Precision,1,1,6.953066853171766,6.953066853171766,1430.4844278799887,1.6637021104672676e-83,0.17756196631593915,0.8960215351298881,0.17741581703701662,natural logarithm
task_energy_per_eval_image_J,Batch,1,6,12.994151539681535,2.165691923280256,445.5571386351142,1.4219195682745616e-99,0.33183444754894603,0.9415357673119946,0.33104859248124097,natural logarithm
task_energy_per_eval_image_J,Profile,1,2,2.0281909011768,1.0140954505884,208.63423020144094,5.033689031495136e-46,0.051794348031152564,0.715396920510088,0.05153969623953582,natural logarithm
task_energy_per_eval_image_J,Model:Precision,2,1,1.4749641966687632,1.4749641966687632,303.45074476778666,2.5797553524697952e-39,0.03766647848159923,0.6463952782051464,0.03753769187679181,natural logarithm
