outcome,term,order,df,ss,ms,f,p,variance_share,partial_eta_squared,omega_squared,scale
throughput_img_s,Model,1,1,17.600792236368108,17.600792236368108,76058.54211664056,4.565645882021272e-158,0.19909902509185928,0.9985558342467479,0.19909588620942356,natural logarithm
throughput_img_s,Precision,1,1,10.08883094046405,10.08883094046405,43597.00192400492,8.454459609886349e-145,0.11412420404648017,0.9974832407816199,0.11412128760269855,natural logarithm
throughput_img_s,Batch,1,6,47.85117292197965,7.975195486996609,34463.320382977276,1.298713565525381e-177,0.5412893777918959,0.9994683162970034,0.5412722546536852,natural logarithm
throughput_img_s,Profile,1,1,5.589778918222224,5.589778918222224,24155.187423656764,9.632135605765724e-131,0.06323121812650416,0.9954667566304163,0.06322843490533073,natural logarithm
throughput_img_s,Model:Precision,2,1,0.5154355427582826,0.5154355427582826,2227.3585990231454,7.713235539779798e-75,0.005830573572070267,0.9529383295973616,0.005827940608608014,natural logarithm
throughput_img_s,Model:Batch,2,6,2.3516749074345284,0.3919458179057547,1693.7207767857492,6.740103775970779e-106,0.026601994678156524,0.9892916157118082,0.02658621883750259,natural logarithm
throughput_img_s,Model:Profile,2,1,0.16918935861101278,0.16918935861101278,731.1202691782054,2.0869502450780644e-50,0.0019138590981016286,0.869222031580011,0.001911236387425852,natural logarithm
throughput_img_s,Precision:Batch,2,6,3.5685667850366123,0.5947611308394354,2570.1493382678814,9.073173661415918e-116,0.040367397008862715,0.9929173436104201,0.04035158513450457,natural logarithm
throughput_img_s,Precision:Profile,2,1,0.06900742470539575,0.06900742470539575,298.20271995888777,4.2212719845198865e-33,0.000780607531662976,0.7305260484029145,0.0007779877875006922,natural logarithm
throughput_img_s,Batch:Profile,2,6,0.19309406320347125,0.03218234386724521,139.06999887092388,5.495785506412403e-49,0.0021842675726493326,0.8835263963183273,0.0021685556502983316,natural logarithm
throughput_img_s,Model:Precision:Batch,3,6,0.13993253493079247,0.023322089155132078,100.7820600591152,2.2947211402838433e-42,0.0015829077980811547,0.8460876230082988,0.0015671974499100961,natural logarithm
throughput_img_s,Model:Precision:Profile,3,1,0.04068547469700283,0.04068547469700283,175.8146934081442,1.4973557149705872e-24,0.0004602314622426498,0.6151352518363369,0.00045761255672904815,natural logarithm
throughput_img_s,Model:Batch:Profile,3,6,0.08980140117609743,0.014966900196016238,64.67666873324535,8.255987931949377e-34,0.0010158276505929213,0.7791430806298624,0.0010001187868679986,natural logarithm
throughput_img_s,Precision:Batch:Profile,3,6,0.042107092444441954,0.007017848740740326,30.326324908994717,3.0597748311019395e-21,0.0004763127103914445,0.6232334135592934,0.00046060525895519377,natural logarithm
throughput_img_s,Model:Precision:Batch:Profile,4,6,0.06501288568379202,0.01083548094729867,46.823510721369104,4.29130623144226e-28,0.000735421564224001,0.7186276653003393,0.0007197134345183052,natural logarithm
