model,precision,batch,n_device_blocks,low_blocks,high_blocks,regime_changes_across_blocks,regime_pattern
mobilenet_v2,fp16,1,3,0,3,False,all_high
mobilenet_v2,fp16,4,3,1,2,True,mixed_across_blocks
mobilenet_v2,fp16,8,3,1,2,True,mixed_across_blocks
mobilenet_v2,fp16,16,3,1,2,True,mixed_across_blocks
mobilenet_v2,fp16,32,3,3,0,False,all_low
mobilenet_v2,fp16,64,3,2,1,True,mixed_across_blocks
mobilenet_v2,fp16,128,3,1,2,True,mixed_across_blocks
mobilenet_v2,fp32,1,3,2,1,True,mixed_across_blocks
mobilenet_v2,fp32,4,3,0,3,False,all_high
mobilenet_v2,fp32,8,3,1,2,True,mixed_across_blocks
mobilenet_v2,fp32,16,3,2,1,True,mixed_across_blocks
mobilenet_v2,fp32,32,3,1,2,True,mixed_across_blocks
mobilenet_v2,fp32,64,3,0,3,False,all_high
mobilenet_v2,fp32,128,3,2,1,True,mixed_across_blocks
mobilenet_v2,fp64,1,3,1,2,True,mixed_across_blocks
mobilenet_v2,fp64,4,3,1,2,True,mixed_across_blocks
mobilenet_v2,fp64,8,3,3,0,False,all_low
mobilenet_v2,fp64,16,3,2,1,True,mixed_across_blocks
mobilenet_v2,fp64,32,3,1,2,True,mixed_across_blocks
mobilenet_v2,fp64,64,3,1,2,True,mixed_across_blocks
mobilenet_v2,fp64,128,3,1,2,True,mixed_across_blocks
resnet50,fp16,1,3,2,1,True,mixed_across_blocks
resnet50,fp16,4,3,1,2,True,mixed_across_blocks
resnet50,fp16,8,3,1,2,True,mixed_across_blocks
resnet50,fp16,16,3,1,2,True,mixed_across_blocks
resnet50,fp16,32,3,1,2,True,mixed_across_blocks
resnet50,fp16,64,3,2,1,True,mixed_across_blocks
resnet50,fp16,128,3,1,2,True,mixed_across_blocks
resnet50,fp32,1,3,2,1,True,mixed_across_blocks
resnet50,fp32,4,3,1,2,True,mixed_across_blocks
resnet50,fp32,8,3,1,2,True,mixed_across_blocks
resnet50,fp32,16,3,3,0,False,all_low
resnet50,fp32,32,3,1,2,True,mixed_across_blocks
resnet50,fp32,64,3,2,1,True,mixed_across_blocks
resnet50,fp32,128,3,2,1,True,mixed_across_blocks
resnet50,fp64,1,3,2,1,True,mixed_across_blocks
resnet50,fp64,4,3,1,2,True,mixed_across_blocks
resnet50,fp64,8,3,2,1,True,mixed_across_blocks
resnet50,fp64,16,3,0,3,False,all_high
resnet50,fp64,32,3,1,2,True,mixed_across_blocks
resnet50,fp64,64,3,2,1,True,mixed_across_blocks
resnet50,fp64,128,3,1,2,True,mixed_across_blocks
