device_block,fast_sequence_index,fast_start_timestamp_utc,fast_metadata_timestamp_utc,fast_prefix,model,precision,batch,realized_fast_regime,fast_cpu_mode_MHz,fast_gpu_mode_MHz,immediate_predecessor_sequence_index,immediate_predecessor_start_timestamp_utc,immediate_predecessor_prefix,immediate_predecessor_profile,immediate_predecessor_fast_regime,immediate_predecessor_state,expected_regime_from_immediate_predecessor,immediate_rule_match,last_nonfast_sequence_index,last_nonfast_start_timestamp_utc,last_nonfast_prefix,last_nonfast_profile,expected_regime_from_last_nonfast,last_nonfast_rule_match
Clone1,2,2026-06-30T19:25:58.070067644+00:00,2026-06-30T19:50:35+00:00,resnet50_fp16_fast_BS128,resnet50,fp16,128,low,729.0,407.0,1,2026-06-30T18:47:12.447438478+00:00,resnet50_fp32_slow_BS8,slow,not_applicable,slow,low,True,1,2026-06-30T18:47:12.447438478+00:00,resnet50_fp32_slow_BS8,slow,low,True
Clone1,3,2026-06-30T19:50:42.117951155+00:00,2026-07-01T08:22:40+00:00,resnet50_fp64_fast_BS8,resnet50,fp64,8,low,729.0,407.0,2,2026-06-30T19:25:58.070067644+00:00,resnet50_fp16_fast_BS128,fast,low,fast-low,low,True,1,2026-06-30T18:47:12.447438478+00:00,resnet50_fp32_slow_BS8,slow,low,True
Clone1,8,2026-07-02T04:27:43.874658823+00:00,2026-07-02T10:26:02+00:00,resnet50_fp64_fast_BS16,resnet50,fp64,16,high,1190.0,815.0,7,2026-07-01T21:48:08.385128736+00:00,resnet50_fp64_medium_BS128,medium,not_applicable,medium,high,True,7,2026-07-01T21:48:08.385128736+00:00,resnet50_fp64_medium_BS128,medium,high,True
Clone1,9,2026-07-02T10:26:06.808180571+00:00,2026-07-02T16:49:50+00:00,resnet50_fp64_fast_BS32,resnet50,fp64,32,high,1190.0,815.0,8,2026-07-02T04:27:43.874658823+00:00,resnet50_fp64_fast_BS16,fast,high,fast-high,high,True,7,2026-07-01T21:48:08.385128736+00:00,resnet50_fp64_medium_BS128,medium,high,True
Clone1,10,2026-07-02T16:49:55.362926245+00:00,2026-07-02T17:44:17+00:00,mobilenet_v2_fp64_fast_BS128,mobilenet_v2,fp64,128,high,1190.0,815.0,9,2026-07-02T10:26:06.808180571+00:00,resnet50_fp64_fast_BS32,fast,high,fast-high,high,True,7,2026-07-01T21:48:08.385128736+00:00,resnet50_fp64_medium_BS128,medium,high,True
Clone1,14,2026-07-02T19:21:18.045949221+00:00,2026-07-02T19:48:39+00:00,resnet50_fp16_fast_BS4,resnet50,fp16,4,low,729.0,407.0,13,2026-07-02T18:56:10.237050295+00:00,mobilenet_v2_fp32_slow_BS8,slow,not_applicable,slow,low,True,13,2026-07-02T18:56:10.237050295+00:00,mobilenet_v2_fp32_slow_BS8,slow,low,True
Clone1,18,2026-07-02T21:20:48.017836332+00:00,2026-07-02T22:15:36+00:00,mobilenet_v2_fp64_fast_BS4,mobilenet_v2,fp64,4,high,1190.0,815.0,17,2026-07-02T20:41:26.915838480+00:00,mobilenet_v2_fp16_medium_BS1,medium,not_applicable,medium,high,True,17,2026-07-02T20:41:26.915838480+00:00,mobilenet_v2_fp16_medium_BS1,medium,high,True
Clone1,19,2026-07-02T22:15:41.928148746+00:00,2026-07-02T22:30:47+00:00,mobilenet_v2_fp32_fast_BS8,mobilenet_v2,fp32,8,high,1190.0,815.0,18,2026-07-02T21:20:48.017836332+00:00,mobilenet_v2_fp64_fast_BS4,fast,high,fast-high,high,True,17,2026-07-02T20:41:26.915838480+00:00,mobilenet_v2_fp16_medium_BS1,medium,high,True
Clone1,26,2026-07-03T14:43:44.812988997+00:00,2026-07-03T15:43:26+00:00,resnet50_fp16_fast_BS1,resnet50,fp16,1,low,729.0,407.0,25,2026-07-03T13:01:24.917722464+00:00,mobilenet_v2_fp64_slow_BS4,slow,not_applicable,slow,low,True,25,2026-07-03T13:01:24.917722464+00:00,mobilenet_v2_fp64_slow_BS4,slow,low,True
Clone1,29,2026-07-03T17:07:49.084226608+00:00,2026-07-03T17:31:06+00:00,mobilenet_v2_fp32_fast_BS16,mobilenet_v2,fp32,16,low,729.0,407.0,28,2026-07-03T16:37:58.322328568+00:00,resnet50_fp16_slow_BS4,slow,not_applicable,slow,low,True,28,2026-07-03T16:37:58.322328568+00:00,resnet50_fp16_slow_BS4,slow,low,True
