campaign,objective,rank,configuration,forward_throughput_img_s,whole_task_energy_mJ_per_image,whole_task_throughput_img_s,emc_mode_MHz,gpu_mode_MHz
fixed_2026-03,whole-task energy,1,mobilenet_v2_fp16_medium_BS128,361.12381192086497,105.54058,55.309734513274336,2133.0,305.0
fixed_2026-03,whole-task energy,2,mobilenet_v2_fp16_fast_BS32,372.6904385138499,106.0484,60.90133982947625,2133.0,815.0
fixed_2026-03,whole-task energy,3,mobilenet_v2_fp16_fast_BS128,403.1310500581727,106.94770000000001,61.05006105006105,2133.0,815.0
fixed_2026-03,forward throughput,1,mobilenet_v2_fp16_fast_BS128,403.1310500581727,106.94770000000001,61.05006105006105,2133.0,815.0
fixed_2026-03,forward throughput,2,mobilenet_v2_fp16_fast_BS64,394.34460610844513,107.76299,61.12469437652812,2133.0,815.0
fixed_2026-03,forward throughput,3,mobilenet_v2_fp16_fast_BS32,372.6904385138499,106.0484,60.90133982947625,2133.0,815.0
random_2026-03,whole-task energy,1,mobilenet_v2_fp16_fast_BS32,428.867992404574,117.12177,66.13756613756614,3199.0,815.0
random_2026-03,whole-task energy,2,mobilenet_v2_fp16_medium_BS32,294.3800193559594,117.95611000000001,60.82725060827251,3199.0,305.0
random_2026-03,whole-task energy,3,mobilenet_v2_fp16_fast_BS64,456.8050434154668,119.43559,64.59948320413437,3199.0,815.0
random_2026-03,forward throughput,1,mobilenet_v2_fp16_fast_BS64,456.8050434154668,119.43559,64.59948320413437,3199.0,815.0
random_2026-03,forward throughput,2,mobilenet_v2_fp16_fast_BS32,428.867992404574,117.12177,66.13756613756614,3199.0,815.0
random_2026-03,forward throughput,3,mobilenet_v2_fp16_medium_BS128,413.9608096088284,122.17620000000001,59.523809523809526,3199.0,305.0
