dataset,prefix,model,precision,batch,profile,total_images,warmup_images,throughput_img_s,task_time_s,task_throughput_img_s,task_energy_J,task_energy_per_eval_image_J,task_energy_per_processed_image_J,task_edp_Js
fixed_2026-03,mobilenet_v2_fp16_fast_BS128,mobilenet_v2,fp16,128,fast,50000.0,6400,403.1310500581727,819.0,61.05006105006105,5347.385,0.1069477,0.09481179078014185,4379508.315
fixed_2026-03,mobilenet_v2_fp16_fast_BS32,mobilenet_v2,fp16,32,fast,50000.0,1600,372.6904385138499,821.0,60.90133982947625,5302.42,0.1060484,0.10276007751937985,4353286.82
fixed_2026-03,mobilenet_v2_fp16_fast_BS64,mobilenet_v2,fp16,64,fast,50000.0,3200,394.34460610844513,818.0,61.12469437652812,5388.1495,0.10776299,0.10128100563909775,4407506.291
fixed_2026-03,mobilenet_v2_fp16_medium_BS128,mobilenet_v2,fp16,128,medium,50000.0,6400,361.12381192086497,904.0,55.309734513274336,5277.029,0.10554058000000001,0.09356434397163121,4770434.216
fixed_2026-03,mobilenet_v2_fp16_medium_BS32,mobilenet_v2,fp16,32,medium,50000.0,1600,255.66788401715075,970.0,51.54639175257732,5484.353999999999,0.10968707999999999,0.10628593023255813,5319823.379999999
fixed_2026-03,mobilenet_v2_fp16_medium_BS64,mobilenet_v2,fp16,64,medium,50000.0,3200,326.44512987160005,923.0,54.17118093174431,5356.118,0.10712236000000001,0.1006789097744361,4943696.914000001
fixed_2026-03,mobilenet_v2_fp16_slow_BS128,mobilenet_v2,fp16,128,slow,50000.0,6400,237.49698277935508,1307.0,38.255547054322875,6574.987999999999,0.13149976,0.11657780141843971,8593509.316
fixed_2026-03,mobilenet_v2_fp16_slow_BS32,mobilenet_v2,fp16,32,slow,50000.0,1600,195.68214060392967,1319.0,37.90750568612585,6524.177000000001,0.13048354,0.12643753875968994,8605389.463000001
fixed_2026-03,mobilenet_v2_fp16_slow_BS64,mobilenet_v2,fp16,64,slow,50000.0,3200,222.5877473442788,1304.0,38.34355828220859,6482.6985,0.12965397,0.12185523496240602,8453438.844
fixed_2026-03,mobilenet_v2_fp32_fast_BS128,mobilenet_v2,fp32,128,fast,50000.0,6400,207.6053504453828,954.0,52.41090146750524,6883.459,0.13766918,0.12204714539007092,6566819.886
fixed_2026-03,mobilenet_v2_fp32_fast_BS32,mobilenet_v2,fp32,32,fast,50000.0,1600,204.9764429277752,919.0,54.4069640914037,6579.880499999999,0.13159760999999998,0.12751706395348836,6046910.1795
fixed_2026-03,mobilenet_v2_fp32_fast_BS64,mobilenet_v2,fp32,64,fast,50000.0,3200,204.88294583694596,937.0,53.36179295624333,6712.0225,0.13424045,0.12616583646616542,6289165.0825000005
fixed_2026-03,mobilenet_v2_fp32_medium_BS128,mobilenet_v2,fp32,128,medium,50000.0,6400,199.7225861335064,1013.0,49.35834155972359,6856.928,0.13713856,0.12157673758865248,6946068.064
fixed_2026-03,mobilenet_v2_fp32_medium_BS32,mobilenet_v2,fp32,32,medium,50000.0,1600,175.05008071622817,1043.0,47.93863854266539,6863.3925,0.13726785,0.13301148255813952,7158518.3774999995
fixed_2026-03,mobilenet_v2_fp32_medium_BS64,mobilenet_v2,fp32,64,medium,50000.0,3200,190.3776396962232,1017.0,49.164208456243855,6778.287,0.13556574000000002,0.1274114097744361,6893517.879000001
fixed_2026-03,mobilenet_v2_fp32_slow_BS128,mobilenet_v2,fp32,128,slow,50000.0,6400,126.61930107734835,1492.0,33.51206434316354,8388.0125,0.16776025000000003,0.14872362588652482,12514914.65
fixed_2026-03,mobilenet_v2_fp32_slow_BS32,mobilenet_v2,fp32,32,slow,50000.0,1600,120.28350440600984,1434.0,34.86750348675035,8256.561,0.16513122,0.16001087209302325,11839908.474
fixed_2026-03,mobilenet_v2_fp32_slow_BS64,mobilenet_v2,fp32,64,slow,50000.0,3200,121.51556124866752,1476.0,33.87533875338753,8320.45,0.166409,0.15639943609022558,12280984.200000001
fixed_2026-03,mobilenet_v2_fp64_fast_BS128,mobilenet_v2,fp64,128,fast,50000.0,6400,20.78948617149685,3624.0,13.79690949227373,23044.2315,0.46088463,0.40858566489361703,83512294.956
fixed_2026-03,mobilenet_v2_fp64_fast_BS32,mobilenet_v2,fp64,32,fast,50000.0,1600,23.59927020949062,2883.0,17.34304543877905,18530.366,0.37060732,0.3591156201550388,53423045.178
fixed_2026-03,mobilenet_v2_fp64_fast_BS64,mobilenet_v2,fp64,64,fast,50000.0,3200,22.00950314630217,3126.0,15.99488163787588,19966.648,0.39933296,0.3753129323308271,62415741.648
