dataset,model,batch,profile,task_energy_per_eval_image_J_fp16,task_energy_per_eval_image_J_fp32,task_throughput_img_s_fp16,task_throughput_img_s_fp32,throughput_img_s_fp16,throughput_img_s_fp32,forward_throughput_fp16_over_fp32,logged_window_energy_fp16_over_fp32,logged_window_throughput_fp16_over_fp32,fp16_forward_faster,fp16_logged_window_energy_lower,fp16_logged_window_throughput_faster
Clone1,mobilenet_v2,1,fast,0.25563093000000003,0.30784323,22.311468094600624,16.65001665001665,33.9610676082636,26.859746992620263,1.2643852385353602,0.8303932167031902,1.3400267737617135,True,True,True
Clone1,mobilenet_v2,1,medium,0.23639142,0.23459428,21.21340687314383,23.32089552238806,32.61191281454899,37.7430519901977,0.8640507615287357,1.007660630088679,0.9096308867204074,False,False,False
Clone1,mobilenet_v2,1,slow,0.31365940999999997,0.3085037,15.142337976983645,16.469038208168644,23.306329964357555,26.437295079850276,0.8815701414976054,1.0167119875709756,0.9194427619624469,False,False,False
Clone1,mobilenet_v2,4,fast,0.12821766999999998,0.13901542,47.66444232602478,50.76142131979695,133.65190785425568,158.73651462239133,0.8419733050847948,0.9223269620017691,0.9389895138226882,False,True,False
Clone1,mobilenet_v2,4,medium,0.11903503,0.14913722999999998,46.59832246039143,41.459369817578775,131.85636476811422,96.72846103727856,1.3631599567918027,0.7981577101841036,1.1239515377446412,True,True,True
Clone1,mobilenet_v2,4,slow,0.16087375,0.18068298,31.426775612822123,30.998140111593305,88.54980609057809,85.22944617184272,1.0389578962186465,0.8903647150384614,1.0138277812696417,True,True,True
Clone1,mobilenet_v2,8,fast,0.10609525,0.1294078,59.95203836930455,55.12679162072767,266.29745856562613,192.5057558419744,1.3833220591296316,0.8198520491036863,1.0875299760191846,True,True,True
Clone1,mobilenet_v2,8,medium,0.11063376,0.13707499,52.02913631633715,47.34848484848485,173.77446667688275,127.46223556351548,1.363340803718208,0.8071039071387128,1.0988553590010406,True,True,True
Clone1,mobilenet_v2,8,slow,0.13696162,0.16958661,38.255547054322875,33.244680851063826,166.695963025005,101.1457068714114,1.6480774931646776,0.8076204837162557,1.1507268553940322,True,True,True
Clone1,mobilenet_v2,16,fast,0.10206171,0.16009482,63.61323155216285,35.6887937187723,368.073864115029,122.10137785205826,3.014493944212476,0.6375078843900134,1.7824427480916032,True,True,True
