model,batch,n_matched_device_profile_cells,n_devices,n_profiles,forward_throughput_fp16_over_fp32_gmr,forward_throughput_ci95_low_device_block,forward_throughput_ci95_high_device_block,forward_throughput_sd_log_ratio_across_devices,forward_throughput_favorable_count,forward_throughput_not_favorable_count,logged_window_energy_fp16_over_fp32_gmr,logged_window_energy_ci95_low_device_block,logged_window_energy_ci95_high_device_block,logged_window_energy_sd_log_ratio_across_devices,logged_window_energy_favorable_count,logged_window_energy_not_favorable_count,logged_window_throughput_fp16_over_fp32_gmr,logged_window_throughput_ci95_low_device_block,logged_window_throughput_ci95_high_device_block,logged_window_throughput_sd_log_ratio_across_devices,logged_window_throughput_favorable_count,logged_window_throughput_not_favorable_count
mobilenet_v2,1,6,3,2,0.8536969155011928,0.8126210284017259,0.8968490822464456,0.01985049763502106,0,6,1.0326928528310857,0.9835353822601317,1.0843072323821532,0.01963316144776246,0,6,0.897682230895896,0.8607682990322356,0.9361792117254246,0.016903564137343053,0,6
mobilenet_v2,4,6,3,2,1.1713424844496605,1.1231787817640089,1.221571523744279,0.016902303845949165,6,0,0.8436332422680908,0.8421163746434048,0.8451528421605013,0.0007244510686079485,6,0,1.0688340083977597,1.062671484955671,1.07503226884391,0.002327703533742987,5,1
mobilenet_v2,8,6,3,2,1.5391615226631916,1.3979312184760069,1.6946600530386073,0.038743568537847294,6,0,0.7926962347294966,0.7207381797841195,0.8718385374596557,0.03830872698839253,6,0,1.158818485399764,1.0063252992999472,1.3344196782475481,0.0567986065178936,6,0
mobilenet_v2,16,6,3,2,1.6330135128768741,1.631191648821179,1.6348374117570117,0.0004493584296938909,6,0,0.7861060862159475,0.7671118901967879,0.8055705910479735,0.00984610551586232,6,0,1.1847619223113885,1.1393986980075224,1.2319312063578551,0.01571618973159846,6,0
mobilenet_v2,32,6,3,2,1.6665886065037243,1.6620390661073114,1.6711506004689134,0.0011004160203146366,6,0,0.8064293078736456,0.7554894004434172,0.8608039083220385,0.02626685657574521,6,0,1.1260304439974684,1.0208195711812593,1.2420848861096105,0.03948765012789544,6,0
mobilenet_v2,64,6,3,2,1.8198896327877836,1.8139321868488656,1.82586664459712,0.0013199309077850739,6,0,0.7683448627274122,0.7479460413636437,0.7893000235729329,0.010831860924618415,6,0,1.1834012685880728,1.1430479206438828,1.2251792223260318,0.013966381100976656,6,0
mobilenet_v2,128,6,3,2,1.8666294745974314,1.862791274481982,1.8704755831566924,0.000828591955380298,6,0,0.775855176688946,0.7512670680420123,0.8012480259035837,0.012964124138989732,6,0,1.1538649142860342,1.14865234339458,1.1591011397631903,0.0018226536522989109,6,0
resnet50,1,6,3,2,0.8469828707043923,0.7705441410910085,0.9310043967772171,0.03807499419253988,0,6,0.8402752541775615,0.8089660380564418,0.8727962232870689,0.015286022792469238,6,0,0.8866454583193488,0.8232020667082502,0.954978371108661,0.029887030089908596,0,6
resnet50,4,6,3,2,1.7526026503667256,1.7437303448566408,1.7615200992129325,0.0020430498300548446,6,0,0.5909618311320913,0.55642606782876,0.6276411297870245,0.024240653677656324,6,0,1.3453145086543739,1.2412007477288507,1.4581614863733057,0.03242516095354101,6,0
resnet50,8,6,3,2,1.830053682453911,1.8125778241691073,1.8476980331580295,0.0038626106574365026,6,0,0.5929262092917467,0.557518762572629,0.6305823467587454,0.024786789028402065,6,0,1.3989073284068798,1.3345936691701223,1.4663202431398767,0.01894604075160571,6,0
resnet50,16,6,3,2,2.11901893946672,2.0457845066390967,2.194874998440293,0.014158586799706465,6,0,0.5853064883176811,0.5515656236678571,0.62111137925643,0.02390157299221344,6,0,1.4318956498277224,1.3214333305835577,1.5515918242277966,0.032317931202957575,6,0
resnet50,32,6,3,2,2.2002904315162155,2.1767938705598593,2.2240406170275846,0.004321931608779362,6,0,0.5898015621942483,0.5759428416341974,0.6039937605261847,0.009571821422069374,6,0,1.3900858562870742,1.3608550941421211,1.4199444864976667,0.008555187735725797,6,0
resnet50,64,6,3,2,2.2304838233877033,2.2184176106699907,2.2426156655381475,0.0021836025155173864,6,0,0.5997150253283138,0.5906057772357123,0.6089647705240776,0.006161427078086432,6,0,1.3929592207692056,1.3700432053509835,1.4162585407143193,0.006677626526757088,6,0
resnet50,128,6,3,2,2.3752817737330303,2.37471505424678,2.3758486284653917,9.605703033590204e-05,6,0,0.5808571695531961,0.571322722869537,0.5905507306391442,0.006662534087529151,6,0,1.4474917406650196,1.4186435831628252,1.4769265262682736,0.00810383114060453,6,0
