model,batch,n_matched_device_profile_cells,n_devices,n_profiles,forward_throughput_fp16_over_fp32_gmr,forward_throughput_ci95_low_device_block,forward_throughput_ci95_high_device_block,forward_throughput_sd_log_ratio_across_devices,forward_throughput_favorable_count,forward_throughput_not_favorable_count,logged_window_energy_fp16_over_fp32_gmr,logged_window_energy_ci95_low_device_block,logged_window_energy_ci95_high_device_block,logged_window_energy_sd_log_ratio_across_devices,logged_window_energy_favorable_count,logged_window_energy_not_favorable_count,logged_window_throughput_fp16_over_fp32_gmr,logged_window_throughput_ci95_low_device_block,logged_window_throughput_ci95_high_device_block,logged_window_throughput_sd_log_ratio_across_devices,logged_window_throughput_favorable_count,logged_window_throughput_not_favorable_count
mobilenet_v2,1,9,3,3,0.9305476154733536,0.7542633215382538,1.1480325768687503,0.08454913987030167,2,7,0.9840853391983555,0.850186089029017,1.139072924530161,0.058876513019706186,2,7,0.9797306396281599,0.782280940479602,1.227017145065203,0.09060034809974,2,7
mobilenet_v2,4,9,3,3,1.0081950565344817,0.7981045390982334,1.2735891380458089,0.09406779142282302,6,3,0.8933259637037018,0.7942644500724533,1.0047425355048316,0.047314232348479944,8,1,0.9791786631637034,0.8024556927289342,1.1948209266663303,0.08012336779264312,5,4
mobilenet_v2,8,9,3,3,1.5049364181425915,1.0027374926819235,2.2586505832092953,0.16344379610624116,8,1,0.8019550759789079,0.6252801863806962,1.0285500130924843,0.1001767102704505,8,1,1.141071206522534,0.734536100284045,1.7726065442546541,0.1773185154275716,8,1
mobilenet_v2,16,9,3,3,1.792317849240588,1.4109601021879492,2.276749900812216,0.09630676782501849,9,0,0.7714117641899443,0.6804893137942897,0.8744826669100823,0.050484390217332066,9,0,1.231859023801141,0.9746287982551729,1.5569790849982679,0.09428745795402108,9,0
mobilenet_v2,32,9,3,3,1.5348131179632911,1.2168610531321515,1.9358424702712338,0.09344650637317564,9,0,0.8449568034389097,0.7659715617960813,0.9320868231760413,0.03950685259436877,8,1,1.031718103577073,0.8477134148867816,1.2556628532188985,0.07907698829370786,7,2
mobilenet_v2,64,9,3,3,1.6638534533853448,1.32425032400931,2.0905475831492986,0.09189899676190236,9,0,0.8169104121778034,0.7306264918925518,0.9133841010827322,0.04493593875222638,8,1,1.0658222551429415,0.8740824585957847,1.2996223278327026,0.07983741498984669,7,2
mobilenet_v2,128,9,3,3,1.9908353309154798,1.5896529442537,2.4932645387462684,0.09059022594635839,9,0,0.759839012170302,0.6909412263732022,0.8356069986538769,0.03826350691089429,9,0,1.212471989950718,0.9884689484761701,1.4872377414397804,0.08222543024205123,9,0
resnet50,1,9,3,3,0.8449121490576322,0.5504268078513622,1.2969508923663515,0.17251002742724061,1,8,0.8512556685471718,0.7079250550878479,1.0236058294952861,0.07422063678793551,8,1,0.8813673104760382,0.5889729274406377,1.31892027593078,0.16226726990175333,1,8
resnet50,4,9,3,3,1.8930386492940232,1.2302519800009615,2.912895395395453,0.17348646846236365,9,0,0.5778016668222692,0.5078569834194573,0.6573794928145155,0.051941884281616404,9,0,1.3865208436182497,0.9704671483769843,1.9809429438214,0.1436214041958739,8,1
resnet50,8,9,3,3,1.949118119090211,1.915141868587377,1.9836971372611563,0.007079044320319733,9,0,0.5913643500237648,0.5557630241433225,0.6292462421696565,0.02499472425922628,9,0,1.4106989687039062,1.3817177855185472,1.4402880249206655,0.008356141750872152,9,0
resnet50,16,9,3,3,2.4601668766425147,1.9645618765272397,3.080799405324847,0.09055855710171476,9,0,0.5605610659856156,0.5051181349660768,0.6220895409348804,0.041924347700001495,9,0,1.5907616524108619,1.308300187616192,1.9342064296357797,0.07869298040422414,9,0
resnet50,32,9,3,3,2.244396507478278,1.453954377744898,3.4645624098561028,0.17476875987516144,9,0,0.5943010648033809,0.48247739362985537,0.7320420817423702,0.08391320899004925,9,0,1.3794420304782788,0.8930193552867086,2.1308164310045816,0.17504106696781202,8,1
resnet50,64,9,3,3,2.25963406840746,2.1921956932023225,2.3291470460143864,0.012197086417803647,9,0,0.6021604502887835,0.5917123292086954,0.6127930583716186,0.007046047423953161,9,0,1.4004421056279945,1.3794345210822223,1.4217696173625554,0.006084336054837035,9,0
resnet50,128,9,3,3,2.530692129924306,1.9742486110245365,3.243969690897873,0.09995619705195681,9,0,0.5739221112056623,0.5197779501016863,0.6337063541582044,0.03988989440456156,9,0,1.5260126781272936,1.2278792127910214,1.89653401535479,0.08750311060155642,9,0
