factor,included_profiles,comparison,model,metric,n_devices,matched_pairs_per_device,geometric_mean_ratio,ci95_low_device_block,ci95_high_device_block,sd_log_ratio_across_devices,device_ratios
precision,slow|medium,fp32/fp16,mobilenet_v2,throughput_img_s,3,14,0.684318245770825,0.677853949394161,0.6908441883585685,0.003820734295326813,0.683199|0.682452|0.687313
precision,slow|medium,fp32/fp16,mobilenet_v2,task_energy_per_eval_image_J,3,14,1.2115478638861783,1.1970347916521058,1.2262368953046792,0.004851291669526195,1.21325|1.21639|1.20502
precision,slow|medium,fp32/fp16,mobilenet_v2,task_throughput_img_s,3,14,0.9040905398315737,0.8812534825849937,0.9275194031747989,0.010299028088945913,0.906684|0.893817|0.911866
precision,slow|medium,fp32/fp16,mobilenet_v2,time_weighted_avg_power_W,3,14,1.095348962292645,1.0779012548723914,1.113079091217509,0.006463865292449725,1.10004|1.08723|1.09882
precision,slow|medium,fp64/fp32,mobilenet_v2,throughput_img_s,3,14,0.14471304110886765,0.14348653129437086,0.14595003501766576,0.0034263730489066378,0.144366|0.145282|0.144493
precision,slow|medium,fp64/fp32,mobilenet_v2,task_energy_per_eval_image_J,3,14,2.9547999549844874,2.9091577056586546,3.0011582929979395,0.00626670586996202,2.96069|2.96969|2.93413
precision,slow|medium,fp64/fp32,mobilenet_v2,task_throughput_img_s,3,14,0.32008100196729994,0.3170596171773185,0.3231311787117106,0.003817933226567689,0.318753|0.320341|0.321154
precision,slow|medium,fp64/fp32,mobilenet_v2,time_weighted_avg_power_W,3,14,0.9457753302043678,0.9338393875424127,0.9578638330700687,0.005112673420420503,0.943729|0.951314|0.942308
precision,slow|medium,fp32/fp16,resnet50,throughput_img_s,3,14,0.5483218770404502,0.5428344763410833,0.5538647487309715,0.00404890584422744,0.550371|0.548638|0.545966
precision,slow|medium,fp32/fp16,resnet50,task_energy_per_eval_image_J,3,14,1.6116604318973944,1.5640968203391619,1.6606704354660475,0.012059084233041925,1.63354|1.59603|1.60565
precision,slow|medium,fp32/fp16,resnet50,task_throughput_img_s,3,14,0.7621115347646407,0.7498142839810398,0.7746104653242414,0.006548494261164747,0.756507|0.766018|0.763842
precision,slow|medium,fp32/fp16,resnet50,time_weighted_avg_power_W,3,14,1.228265005272767,1.21154236336648,1.2452184659772914,0.005518365731622056,1.23579|1.22258|1.22646
precision,slow|medium,fp64/fp32,resnet50,throughput_img_s,3,14,0.03247786443789694,0.032304185298558434,0.03265247733994027,0.0021584815530343716,0.0324162|0.0324634|0.0325542
precision,slow|medium,fp64/fp32,resnet50,task_energy_per_eval_image_J,3,14,12.552732043309296,12.2720602306297,12.839823044369034,0.00910303075744296,12.4353|12.6634|12.5605
precision,slow|medium,fp64/fp32,resnet50,task_throughput_img_s,3,14,0.0582054846439991,0.05789387633261239,0.058518770157637165,0.0021608995256518744,0.0581956|0.0580851|0.0583361
precision,slow|medium,fp64/fp32,resnet50,time_weighted_avg_power_W,3,14,0.7306378521870747,0.7153607734125318,0.7462411847129524,0.008506343674329633,0.72368|0.735553|0.732733
