dataset,prefix,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,latency_iterations_gt5x_p50,throughput_sensitivity_percent_increase_excluding_gt5x_p50
Clone2,mobilenet_v2_fp64_fast_BS128,11537.468366965186,12314.50421200134,73190.95496799565,288100.88244697545,6,16.64486466290944
Clone3,resnet50_fp64_fast_BS128,52729.10186205991,55595.52898450056,264100.23341641657,745585.574556957,4,8.2468659180708
fixed_2026-03,resnet50_fp64_fast_BS128,52906.25372802606,55877.97628800036,179437.34819520722,639061.2622079789,3,5.558273865832564
fixed_2026-03,mobilenet_v2_fp64_medium_BS128,5861.086464021355,7695.513456012122,9144.237158430062,126119.14121598238,1,4.942446898545394
Clone2,mobilenet_v2_fp64_slow_BS128,11551.050559966823,12192.84468947444,30135.161388060165,241366.6603490128,1,4.902673657766044
fixed_2026-03,mobilenet_v2_fp64_fast_BS128,5808.822655992117,6442.512159992475,7106.803935987413,100082.79305603357,1,4.074910554498024
Clone1,mobilenet_v2_fp64_slow_BS128,11551.022384956012,11870.877748500789,12593.675607198387,132474.1499510128,1,2.666223742405016
random_2026-03,resnet50_fp64_medium_BS128,52907.04227803508,55485.48522000783,111726.42835893396,340488.2570420159,2,2.364630668757384
Clone3,resnet50_fp64_medium_BS128,52731.61698994227,53951.34844345739,162659.57748790993,298014.4288749434,2,2.267984834047354
random_2026-03,resnet50_fp64_slow_BS128,104772.11856798384,105513.12048500404,119597.93238722526,583201.2454899959,2,2.1853264998628497
fixed_2026-03,mobilenet_v2_fp64_slow_BS128,11552.581727999495,12318.687295992277,14714.48379521026,108735.2249280084,1,2.103121196980817
Clone1,resnet50_fp64_slow_BS128,104781.19473694824,106501.26994744642,167246.34211030998,614910.6049530674,1,1.211047243228247
random_2026-03,mobilenet_v2_fp16_medium_BS32,108.29175700200722,115.69198901415804,119.08737207530066,914.5153110148384,1,0.5091716029334004
Clone2,mobilenet_v2_fp16_slow_BS32,150.74819995788857,157.09940873202868,160.01870085834526,1042.7905339747667,1,0.4098750898084091
Clone1,mobilenet_v2_fp32_fast_BS32,154.40797503106296,159.628253208939,160.01761803403497,956.9563530385494,1,0.3624511598785185
