dataset,profile,runs,cpu_freq_mode_MHz_median_across_runs,cpu_freq_mode_MHz_unique,cpu_freq_max_MHz_median_across_runs,cpu_freq_max_MHz_unique,emc_freq_mode_MHz_median_across_runs,emc_freq_mode_MHz_unique,emc_freq_max_MHz_median_across_runs,emc_freq_max_MHz_unique,gpu_freq_mode_MHz_median_across_runs,gpu_freq_mode_MHz_unique,gpu_freq_max_MHz_median_across_runs,gpu_freq_max_MHz_unique
Clone1,fast,42,1190.0,729|1190,1190.0,729|1190,2133.0,2133,2133.0,2133,815.0,407|815,816.0,408|816
Clone1,medium,42,1190.0,729|1190,1190.0,1190|1192|1193,2133.0,2133,2133.0,2133,558.5,305|407|509|608|813|815,816.0,306|713|815|816
Clone1,slow,42,729.0,729,729.0,729,2133.0,2133,2133.0,2133,356.0,305|407,408.0,306|407|408
Clone2,fast,42,729.0,729|1190,729.0,729|1190,2133.0,2133,2133.0,2133,407.0,407|812|813,408.0,408|814|815
Clone2,medium,42,1190.0,729|1190,1190.0,1190|1192|1193,2133.0,2133,2133.0,2133,407.0,305|407|601|609|805|812|813,814.0,306|705|813|814|815|816
Clone2,slow,42,729.0,729,729.0,729,2133.0,2133,2133.0,2133,356.0,305|407,408.0,306|407|408
Clone3,fast,42,1190.0,729|1190,1190.0,729|1190,2133.0,2133,2133.0,2133,815.0,407|815,816.0,408|816
Clone3,medium,42,1190.0,729|1190,1190.0,1190|1192|1193,2133.0,2133,2133.0,2133,407.0,305|407|603|713|808|815,816.0,306|710|713|805|815|816
Clone3,slow,42,729.0,729,729.0,729,2133.0,2133,2133.0,2133,356.0,305|407,408.0,306|407|408
MasterJetson,fast,24,729.0,729|1190|1267|1728,729.0,729|1190|1267|1728,3199.0,3199,3199.0,3199,407.0,407|814|815|1015,408.0,408|815|1019
MasterJetson,medium,24,1190.0,1190|1267,1190.0,1190|1192|1267,3199.0,3199,3199.0,3199,506.0,305|407|605|611|814|815,815.0,702|704|710|712|808|815
MasterJetson,slow,24,729.0,729,729.0,729,3199.0,3199,3199.0,3199,407.0,305|407,408.0,306|408
fixed_2026-03,fast,18,1190.0,1190,1190.0,1190,2133.0,2133,2133.0,2133,815.0,815,815.0,815
fixed_2026-03,medium,18,729.0,729,1192.0,1192|1193|1194,2133.0,2133,2133.0,2133,305.0,305|805|814,815.0,815
fixed_2026-03,slow,18,729.0,729,729.0,729,2133.0,665|2133,2133.0,2133,356.0,305|407,408.0,408
random_2026-03,fast,18,729.0,729|1190|1267|1728,729.0,729|1190|1267|1728,3199.0,3199,3199.0,3199,407.0,407|815|1014|1019,408.0,408|815|1019
random_2026-03,medium,18,1190.0,1190|1267,1191.0,1190|1192|1267,3199.0,3199,3199.0,3199,305.0,305|807|814|815,815.0,815
random_2026-03,slow,18,729.0,729,729.0,729,3199.0,3199,3199.0,3199,356.0,305|407,408.0,408
