dataset,profile,cpu_freq_mode_MHz,cpu_freq_max_MHz,emc_freq_mode_MHz,emc_freq_max_MHz,gpu_freq_mode_MHz,gpu_freq_max_MHz,runs
Clone1,fast,729.0,729.0,2133.0,2133.0,407.0,408.0,19
Clone1,fast,1190.0,1190.0,2133.0,2133.0,815.0,816.0,23
Clone1,medium,729.0,1192.0,2133.0,2133.0,813.0,816.0,1
Clone1,medium,729.0,1192.0,2133.0,2133.0,815.0,816.0,3
Clone1,medium,729.0,1193.0,2133.0,2133.0,813.0,816.0,1
Clone1,medium,1190.0,1190.0,2133.0,2133.0,305.0,713.0,1
Clone1,medium,1190.0,1190.0,2133.0,2133.0,305.0,815.0,1
Clone1,medium,1190.0,1190.0,2133.0,2133.0,305.0,816.0,6
Clone1,medium,1190.0,1190.0,2133.0,2133.0,407.0,816.0,4
Clone1,medium,1190.0,1190.0,2133.0,2133.0,509.0,816.0,1
Clone1,medium,1190.0,1190.0,2133.0,2133.0,813.0,816.0,1
Clone1,medium,1190.0,1190.0,2133.0,2133.0,815.0,816.0,8
Clone1,medium,1190.0,1192.0,2133.0,2133.0,305.0,306.0,2
Clone1,medium,1190.0,1192.0,2133.0,2133.0,305.0,713.0,1
Clone1,medium,1190.0,1192.0,2133.0,2133.0,305.0,815.0,1
Clone1,medium,1190.0,1192.0,2133.0,2133.0,305.0,816.0,1
Clone1,medium,1190.0,1192.0,2133.0,2133.0,407.0,816.0,1
Clone1,medium,1190.0,1192.0,2133.0,2133.0,813.0,816.0,1
Clone1,medium,1190.0,1192.0,2133.0,2133.0,815.0,816.0,2
Clone1,medium,1190.0,1193.0,2133.0,2133.0,305.0,816.0,2
Clone1,medium,1190.0,1193.0,2133.0,2133.0,608.0,816.0,1
Clone1,medium,1190.0,1193.0,2133.0,2133.0,815.0,816.0,3
Clone1,slow,729.0,729.0,2133.0,2133.0,305.0,306.0,3
Clone1,slow,729.0,729.0,2133.0,2133.0,305.0,407.0,1
Clone1,slow,729.0,729.0,2133.0,2133.0,305.0,408.0,17
Clone1,slow,729.0,729.0,2133.0,2133.0,407.0,408.0,21
Clone2,fast,729.0,729.0,2133.0,2133.0,407.0,408.0,23
Clone2,fast,1190.0,1190.0,2133.0,2133.0,812.0,814.0,6
Clone2,fast,1190.0,1190.0,2133.0,2133.0,812.0,815.0,1
Clone2,fast,1190.0,1190.0,2133.0,2133.0,813.0,814.0,9
Clone2,fast,1190.0,1190.0,2133.0,2133.0,813.0,815.0,3
Clone2,medium,729.0,1190.0,2133.0,2133.0,305.0,814.0,2
Clone2,medium,729.0,1190.0,2133.0,2133.0,305.0,815.0,1
Clone2,medium,729.0,1190.0,2133.0,2133.0,407.0,814.0,1
Clone2,medium,729.0,1190.0,2133.0,2133.0,812.0,814.0,1
Clone2,medium,729.0,1190.0,2133.0,2133.0,813.0,815.0,1
Clone2,medium,729.0,1192.0,2133.0,2133.0,305.0,814.0,3
Clone2,medium,729.0,1192.0,2133.0,2133.0,609.0,815.0,1
Clone2,medium,729.0,1192.0,2133.0,2133.0,812.0,814.0,2
Clone2,medium,729.0,1192.0,2133.0,2133.0,812.0,815.0,1
Clone2,medium,729.0,1192.0,2133.0,2133.0,812.0,816.0,1
Clone2,medium,729.0,1193.0,2133.0,2133.0,812.0,814.0,1
