dataset,model,precision,runs,epi_wall_to_P_over_T_min,epi_wall_to_P_over_T_median,epi_wall_to_P_over_T_p95,epi_wall_to_P_over_T_max,inference_fraction_median,power_window_to_meta_median
Clone1,mobilenet_v2,fp16,21,1.5110231506999978,4.78998068867404,6.067083113166714,6.069859556080417,0.20876910889526354,1.0192191564416477
Clone1,mobilenet_v2,fp32,21,1.5963059671082276,3.2857515843402636,3.6676932639789994,3.7333179087234347,0.3043443712439956,1.0195587790863143
Clone1,mobilenet_v2,fp64,21,1.2064901434197814,1.2852508478804086,1.3509268907010383,1.3993349328621685,0.7780582301495195,1.0165216234674437
Clone1,resnet50,fp16,21,1.4508754960638552,2.922141301019037,3.3483148254703354,3.383562642698076,0.34221479969201707,1.020180437983594
Clone1,resnet50,fp32,21,1.5262138777947225,1.8994173375981203,2.1027879058987207,2.111875738426721,0.5264772413126095,1.018616759232858
Clone1,resnet50,fp64,21,1.0231996706676456,1.0307809282520255,1.0463078679835733,1.057633336797078,0.9701382443074271,1.0162536885753557
Clone2,mobilenet_v2,fp16,21,1.4995147144008174,4.588777220685167,6.038129137713245,6.1985624762302995,0.2179229785861529,1.0181026986965518
Clone2,mobilenet_v2,fp32,21,1.5701705028486186,3.2668731607296806,3.6196508820297058,3.714687368173868,0.3061030994471308,1.018079612006401
Clone2,mobilenet_v2,fp64,21,1.2089099587037002,1.2930203600279202,1.3532885524128961,1.392411250365801,0.7733830269914752,1.0164792559281763
Clone2,resnet50,fp16,21,1.4639315971982196,2.911208768341946,3.4486059135772456,3.465928296247412,0.34349992720362044,1.0201497966381818
Clone2,resnet50,fp32,21,1.5229917126777026,1.858461924592304,2.1096129867179885,2.1324182932135143,0.538079358402445,1.017898464823907
Clone2,resnet50,fp64,21,1.0228957310915272,1.0310803441319696,1.051315437009174,1.0559814393003613,0.9698565254309692,1.0161452902867774
Clone3,mobilenet_v2,fp16,21,1.4923493562017074,4.773341361829185,6.038336775252605,6.220238102569756,0.20949685434120963,1.018223182588829
Clone3,mobilenet_v2,fp32,21,1.598009053982527,3.255592845432126,3.679775758385059,3.7257944528771354,0.3071637171715391,1.0183679113542954
Clone3,mobilenet_v2,fp64,21,1.2113764285996484,1.2903778502850418,1.3483522109054322,1.3483685134619954,0.7749668050944164,1.0163535790460945
Clone3,resnet50,fp16,21,1.4570921815098041,3.0246141412273917,3.3811700817545334,3.471122842936406,0.3306206852534912,1.0220286827736123
Clone3,resnet50,fp32,21,1.5174079896638468,1.911730801897391,2.1006220762011667,2.106676013179877,0.5230861996927083,1.0187963687426491
Clone3,resnet50,fp64,21,1.023209675540735,1.0319722810399987,1.0514530268426776,1.055797065735695,0.9690182753670692,1.0162689305719184
MasterJetson,mobilenet_v2,fp16,12,1.5094590814228364,3.1400971007218015,5.216925606158699,5.554250759569877,0.32022721650498576,1.0156596863060035
MasterJetson,mobilenet_v2,fp32,12,1.581804417663654,2.8910956964845953,3.397907355679373,3.4322187842206637,0.34668766505219145,1.0140442999880972
MasterJetson,mobilenet_v2,fp64,12,1.202984803681363,1.2568121254445899,1.369914468969978,1.3968990150901894,0.7956638703831148,1.0084622795212415
MasterJetson,resnet50,fp16,12,1.4789295433547958,2.5263564996196637,3.159526963233311,3.254519108036697,0.396424082684139,1.0152434855013936
MasterJetson,resnet50,fp32,12,1.5412667273610463,1.7852797842557053,2.036192927308535,2.1863076692448318,0.5601377066465586,1.0132230059334142
MasterJetson,resnet50,fp64,12,1.0229568296296119,1.0272425395980789,1.0368806503583075,1.040832507512396,0.9734869973035293,1.0064209791789125
fixed_2026-03,mobilenet_v2,fp16,9,4.821616732617912,5.932218218186846,6.325861066840111,6.35140315304504,0.16857100720506626,1.0286916660917802
fixed_2026-03,mobilenet_v2,fp32,9,3.3733801802036463,3.6840320824851585,3.8161549908868815,3.8510427576559785,0.2714417186414469,1.0328917485592528
fixed_2026-03,mobilenet_v2,fp64,9,1.239679761776656,1.32207698617249,1.451369676022759,1.5024717432035344,0.7563856042113504,1.0542663752301529
fixed_2026-03,resnet50,fp16,9,3.0890483793858063,3.411163218310292,3.5474417730488708,3.5589524974810276,0.29315513096302287,1.034616662005939
fixed_2026-03,resnet50,fp32,9,1.8722500079769082,2.077013366481346,2.1310458985047003,2.133980546306779,0.4814605510671763,1.0426859518305314
fixed_2026-03,resnet50,fp64,9,1.024482958682186,1.0320198338532631,1.0765622548724265,1.0977146009950276,0.9689736255031937,1.0628398106452226
random_2026-03,mobilenet_v2,fp16,9,4.724033245091337,6.096739344663774,6.808925746311454,6.878917473209934,0.16402210156405309,1.0280477021848187
random_2026-03,mobilenet_v2,fp32,9,3.390754230997639,3.6999054798260302,4.152873685292561,4.154567789929105,0.2702771747690755,1.0341405167619753
random_2026-03,mobilenet_v2,fp64,9,1.223518834728955,1.2428203685495811,1.3340018216668896,1.3430985716691775,0.8046215087117039,1.0559798226129613
random_2026-03,resnet50,fp16,9,3.0886673365630455,3.433924974990213,3.6399948596139136,3.660888548297908,0.29121195345942297,1.03471718375411
random_2026-03,resnet50,fp32,9,1.8775194962200987,1.934688856781102,2.1990947003298924,2.205951532962988,0.5168789784956846,1.0424908495504615
random_2026-03,resnet50,fp64,9,1.0233544597022683,1.0318101480872113,1.0829742468007948,1.1140937514820888,0.9691705415514845,1.06298942723556
