dataset,extension,files,bytes
Clone1,.csv,254,86383903
Clone1,.json,126,75710
Clone1,.jsonl,1,28232
Clone1,.log,126,359994023
Clone2,.csv,254,85517809
Clone2,.json,126,75842
Clone2,.jsonl,1,28258
Clone2,.log,126,345951743
Clone3,.csv,254,84540748
Clone3,.json,126,75815
Clone3,.jsonl,1,28239
Clone3,.log,126,328131535
MasterJetson,.csv,146,75050088
MasterJetson,.json,72,43329
MasterJetson,.jsonl,1,16078
MasterJetson,.log,72,199267835
Plotcode,.code-workspace,1,163
Plotcode,.py,13,97527
fixed_2026-03,.csv,110,9823442
fixed_2026-03,.json,54,32503
fixed_2026-03,.jsonl,1,12165
fixed_2026-03,.log,54,133254994
fixed_2026-03,.svg,12,507065
random_2026-03,.csv,110,11368135
random_2026-03,.json,54,32508
random_2026-03,.jsonl,1,12169
random_2026-03,.log,54,159785525
random_2026-03,.svg,6,400146
