dataset,path,extension,bytes,sha256
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/grid_manifest.csv,.csv,25725,a33d079a54b68adaf93b7a959d53343953f9ef24de02479197cb4f9a2a02a911
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/grid_manifest_enriched.csv,.csv,36488,896aae43fa1586f0dec76ba1c74490e8c69ca656f4c85f5c918feaa382956497
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/grid_state.jsonl,.jsonl,12165,0c88cf608ddeee6eaff714412c724e43b634f3d8ca73838584ce0b459c084390
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_fast_BS128_bench_meta.json,.json,602,aceafc82b763f4efbd6b97e5a27ad21cae0eb916521115678626369bf849843a
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_fast_BS128_perf.csv,.csv,21293,1617ce6cb291632e50401a0351e032e0ed6913e780bc15618c72d66de1fb3a60
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_fast_BS128_tegrastats.log,.log,302865,7d7b811b7913c954ca8ba54e2f8f0fc38079ff521d6a514b8a2c32c7a7911bd6
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_fast_BS128_tegrastats_power.csv,.csv,13544,fc495b82341882a7bf065c665f51d842d7a1b02f1f83b0e29ae5c7c656ad3463
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_fast_BS32_bench_meta.json,.json,603,b86f84c71c5bf7f148bd7ecff523128ae7e147368d46d19d7869c620647aa4e1
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_fast_BS32_perf.csv,.csv,80689,386843728d4aea486615dee6538086ba0cd3a8ef4ad397e39c2387b92b1e0c8c
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_fast_BS32_tegrastats.log,.log,305689,eaa9315dafeab0481723de96473bff45270323e5cf05c66851d6a8dd69cf77d2
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_fast_BS32_tegrastats_power.csv,.csv,13494,3e80c3c1c3dd527a38a9d55f59e31ae6312d1bcca7f85db8715dd59deecc3314
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_fast_BS64_bench_meta.json,.json,603,b85fe84e6eb8f1988e8ae23d95546816b511fe411ddc0bf51f02fa394caf405c
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_fast_BS64_perf.csv,.csv,41533,7910acabaf91ce61b6bf85205356df2a7c9cd6e9f1a657faeae608e53fced81d
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_fast_BS64_tegrastats.log,.log,303420,1ab4c700348a7bd148b3e7cc184309d1a8717de0a56f545a8870b2f8730a9974
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_fast_BS64_tegrastats_power.csv,.csv,13540,dddcd4b41afe1bf3213b78c94c27402ec31f2d7f3764e5fd1f2a99694904d262
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_medium_BS128_bench_meta.json,.json,605,6f0192d6ab38f1b02d752e9eb594b1fecf21ba0d18dc02ab565a37508f36e2b6
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_medium_BS128_perf.csv,.csv,21320,7802902ade93a252e0dc0bdc947aac3a4d179f0c640bb2e5269160677c8b8221
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_medium_BS128_tegrastats.log,.log,331496,553070a263b670b260a5c177638b57c6dbed0b37c566133d101fca09d9986883
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_medium_BS128_tegrastats_power.csv,.csv,14919,73e0b4760211f6597a2569a7c3db9cf391bc07b2578afd27e492ac5615a72c7a
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_medium_BS32_bench_meta.json,.json,605,7b643aef328a2cf8095eafb076392dee38a7dfdfa90ad38563ed35b5648628a0
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_medium_BS32_perf.csv,.csv,82405,222871e0246b2d3a5ef7ca3d73415d26b5cfa7d34b7b4edb1be5f0fefa46a34e
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_medium_BS32_tegrastats.log,.log,356122,2ba70762c7ed13c7c9b001a75b350fe4358e3f0665c9aeef29bdc00b27f064e1
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_medium_BS32_tegrastats_power.csv,.csv,16022,3f36c17c191bd625b4254a9cb25cbf06f7facc17b1c04ffc6b6550f715994d51
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_medium_BS64_bench_meta.json,.json,605,aceb35f08194abae8bc589de596f517f467e6c475ba7f6f2e5b955a1ec507200
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_medium_BS64_perf.csv,.csv,41539,a460beea69cb484ce4160e6d3337b8b18887fed17507f46b4e687225b3d167d5
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_medium_BS64_tegrastats.log,.log,338057,eac427cca1349da1709d1de66a92418f26cd9af46a5928957f43b87ee59956a5
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_medium_BS64_tegrastats_power.csv,.csv,15229,4c32bc820595c51e8b578ee3fa70d2039d1c02325ff797a2c4e44cb9319f4678
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_slow_BS128_bench_meta.json,.json,604,4b7facd015bc582362875bc3740e5cbc1d32ef5b4739861e194d56e70ae8b572
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_slow_BS128_perf.csv,.csv,21239,6f0acc91e9bf37632de51f74f8fb2db387c8c57679b906efa8d98358d21cfca7
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_slow_BS128_tegrastats.log,.log,473597,5e76e056723a5b9050d8a266997706fbe124406f8c84e8eca515708290f98269
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_slow_BS128_tegrastats_power.csv,.csv,22209,dfcd549529aec9b03534a126f266ec420c25a997850789fe4bf42814b029338c
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_slow_BS32_bench_meta.json,.json,606,2decdc5648146e84ef647ae0acdc9cb389c32226fe112cd019a16d721a0c462f
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_slow_BS32_perf.csv,.csv,82409,06592cf8ca17993ea4c8e7ee8b9e08076ccf1e207f86eb71bae06072c8009e08
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_slow_BS32_tegrastats.log,.log,478542,2198bf5a21c49abddb5697f143966794ab4bd115e5008dfdf699be82d7e06b76
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_slow_BS32_tegrastats_power.csv,.csv,22315,ae4c64ed92daf60d66b951e77844599990d350765fde3f1397a6ae62ff4de5d6
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_slow_BS64_bench_meta.json,.json,605,75468765e555d1cf612f00a8ee9202b0080818ed5550cd0a4d2a9e9ea255d618
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_slow_BS64_perf.csv,.csv,41594,3a3699fb272cf798185e2e97d4e622d190f319121da44b6974234a1af030e2cf
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_slow_BS64_tegrastats.log,.log,472687,54b56e52b91a53f41de6e8572b664f47f76e7eec90eb7b21ad63bb8e162edb8b
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp16_slow_BS64_tegrastats_power.csv,.csv,22141,4f3894bae04fe0766707880eb33bf760221d8b77f9b080fd6bf95e18d644aef7
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp32_fast_BS128_bench_meta.json,.json,602,41081bb5a0f531d2eecb73563b23ab419e742bb258abae31eaf467173584a89e
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp32_fast_BS128_perf.csv,.csv,21228,905ca8810163a7db6ce312e4e14bdb89f06a7b2d5cdfaac91346dc1f2eb6613b
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp32_fast_BS128_tegrastats.log,.log,352386,df7ce277f19b56af7faf6bcdbb798166d6b2adee05e7925adb5c8d6cc8b2d3c4
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp32_fast_BS128_tegrastats_power.csv,.csv,15867,f44f40b02b1424f6a88e63df5cbbff0384ec4637191e2d5252ee9c1a7069a81c
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp32_fast_BS32_bench_meta.json,.json,605,80e44a2920e3afefc220bee338b1be57692eb0251b63aaa6da21e2b0898a6994
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp32_fast_BS32_perf.csv,.csv,82436,e8d930fbb92dd1d4b2cd14d6e7f665acdd7bfbb00235da29a29ef125499ea8bd
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp32_fast_BS32_tegrastats.log,.log,340502,ddd72b0edd26b04eac7109a7c1d1b11a919b8a8a7f70a6aec3c1e73e8147432b
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp32_fast_BS32_tegrastats_power.csv,.csv,15233,5cd0df6a5e3cf7b358ed7d8beb3076dca68ecfac6e29dd3a954e779bb9ea55de
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp32_fast_BS64_bench_meta.json,.json,599,2caedf206ae22cdc29c15da61519ea84cb57aa277d0a7006b60f751a9143564f
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp32_fast_BS64_perf.csv,.csv,41540,74514a555c178f8f54ba0a073f92d726942f23a365aedf657ab6c350f7482490
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp32_fast_BS64_tegrastats.log,.log,346058,662c005c84a4dc20f675ea374427b65c35a3bf68335ff7fe905c530dd77658b9
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp32_fast_BS64_tegrastats_power.csv,.csv,15508,941234eb75a03e7fe8384bdc4c5f41f77303db9fa6f8b430e7d5d05ff2d937fc
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp32_medium_BS128_bench_meta.json,.json,602,0d5f130c0770526e320bdff9717b84e172f62a43f46fc8c46720d876c5b9cbe3
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp32_medium_BS128_perf.csv,.csv,21207,1c76b29393eec515307ac42d8463ed6c8ad9d374b35cb2481c4fa7b47b40d472
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp32_medium_BS128_tegrastats.log,.log,370309,35431ecf200c1590620d32ed37d50112864173c82b619ee79140d7ba895ca157
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp32_medium_BS128_tegrastats_power.csv,.csv,16772,e58e7176503c8911d38b378661ec8868cfc80afca576523bc91233b0242f09c6
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp32_medium_BS32_bench_meta.json,.json,606,0b0b96b3c619a5c8a43d4bdc3f211cd6c778369728828246d7ade6fe7e69ebad
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp32_medium_BS32_perf.csv,.csv,82413,e50a7386e2efa42391b4457394812d68561a3a43719c55e51c5e7b20a8fb3014
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp32_medium_BS32_tegrastats.log,.log,381046,2442e17f4953eff4bf8d2693fd030c09a6effa7784594958c5330999c8f989af
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp32_medium_BS32_tegrastats_power.csv,.csv,17268,8f94759bd2c911f3a750bff0c69146241d2677d043d5601cbef20b37dcac99e0
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge)/mobilenet_v2_fp32_medium_BS64_bench_meta.json,.json,603,fed8ff6ca60b7463bc7865b469b9dbfe35884150b85c2207df575768021314a5
