metric,order_variable,n,spearman_rho,p,p_holm
throughput_img_s,position_random,54,-0.3526205450733752,0.008918048713114876,0.18727902297541238
throughput_img_s,position_fixed,54,-0.028625881456070132,0.8371999678345144,1.0
throughput_img_s,position_change_random_minus_fixed,54,-0.19196157881575654,0.16435044078684177,1.0
latency_avg_ms,position_random,54,0.3526205450733752,0.008918048713114876,0.18727902297541238
latency_avg_ms,position_fixed,54,0.028625881456070132,0.8371999678345144,1.0
latency_avg_ms,position_change_random_minus_fixed,54,0.19196157881575654,0.16435044078684177,1.0
avg_power_W,position_random,54,-0.29460644177625306,0.03058003236406424,0.5504405825531563
avg_power_W,position_fixed,54,-0.3577282256527539,0.007913029423110299,0.17408664730842657
avg_power_W,position_change_random_minus_fixed,54,0.08126144705132643,0.5591247195058127,1.0
energy_per_img_J_avg_power_times_meta_duration,position_random,54,0.28713550600343046,0.03527487331457841,0.599672846347833
energy_per_img_J_avg_power_times_meta_duration,position_fixed,54,0.05980560320182961,0.6675003150178276,1.0
energy_per_img_J_avg_power_times_meta_duration,position_change_random_minus_fixed,54,0.1448291768657615,0.2960731424400286,1.0
energy_per_img_J_integrated_log_timestamps,position_random,54,0.2984181437011625,0.028393006570634614,0.5394671248420577
energy_per_img_J_integrated_log_timestamps,position_fixed,54,0.06247379454926624,0.6535878517072522,1.0
energy_per_img_J_integrated_log_timestamps,position_change_random_minus_fixed,54,0.14757475367838255,0.28691314541268387,1.0
energy_per_img_J_power_over_throughput_proxy,position_random,54,0.2544311034877072,0.06336608602755098,1.0
energy_per_img_J_power_over_throughput_proxy,position_fixed,54,0.058204688393367635,0.6759017440892002,1.0
energy_per_img_J_power_over_throughput_proxy,position_change_random_minus_fixed,54,0.12492374497425873,0.36809310962236697,1.0
inference_time_fraction_of_meta_duration,position_random,54,0.10196302649132837,0.4631588048914178,1.0
inference_time_fraction_of_meta_duration,position_fixed,54,0.21661902039260525,0.11564557327775914,1.0
inference_time_fraction_of_meta_duration,position_change_random_minus_fixed,54,-0.08351129471722424,0.5482590075988754,1.0
max_gpu_or_tj_temp_C,position_random,54,-0.06533381616997837,0.638803975861467,1.0
max_gpu_or_tj_temp_C,position_fixed,54,0.6606567688786843,5.4440783887349655e-08,1.3065788132963917e-06
max_gpu_or_tj_temp_C,position_change_random_minus_fixed,54,-0.4806567014471423,0.0002344313934610106,0.005391922049603244
