prefix,model,precision,profile,batch,metric,n_devices,mean,sd,cv,min,max,max_to_min_ratio
mobilenet_v2_fp16_fast_BS1,mobilenet_v2,fp16,fast,1,throughput_img_s,4,37.421374308067904,6.517003917328608,0.17415191285274542,33.9610676082636,47.19294830441813,1.3896191029322906
mobilenet_v2_fp16_fast_BS1,mobilenet_v2,fp16,fast,1,latency_avg_ms,4,27.250858314088894,4.043925473692116,0.14839626066388437,21.189606412159282,29.445481853953098,1.3896191029322909
mobilenet_v2_fp16_fast_BS1,mobilenet_v2,fp16,fast,1,avg_power_W,4,6.331663168263772,0.9742268838145489,0.15386587345607255,5.7030969341749325,7.7643908536585355,1.3614341371495224
mobilenet_v2_fp16_fast_BS1,mobilenet_v2,fp16,fast,1,energy_per_img_J_avg_power_times_meta_duration,4,0.2578869288135759,0.00803692848856372,0.031164543800409294,0.2537467784472018,0.2699413618454111,1.063821828585615
mobilenet_v2_fp16_fast_BS1,mobilenet_v2,fp16,fast,1,energy_per_img_J_integrated_log_timestamps,4,0.25999919250000003,0.007914529430704734,0.030440592351857913,0.25563093000000003,0.27183922,1.0634050425744646
mobilenet_v2_fp16_fast_BS1,mobilenet_v2,fp16,fast,1,energy_per_img_J_power_over_throughput_proxy,4,0.16962684136538747,0.005818822811709317,0.03430366777375278,0.1645243862191938,0.1780037712563412,1.0819294047946728
mobilenet_v2_fp16_fast_BS16,mobilenet_v2,fp16,fast,16,throughput_img_s,4,297.03081781244117,80.57314358095876,0.27126189859476574,222.07332355048578,368.073864115029,1.657442948258266
mobilenet_v2_fp16_fast_BS16,mobilenet_v2,fp16,fast,16,latency_avg_ms,4,57.0219860342142,15.518817028147224,0.27215497227395163,43.46953576415777,72.04827551636379,1.657442948258266
mobilenet_v2_fp16_fast_BS16,mobilenet_v2,fp16,fast,16,avg_power_W,4,6.335849919502772,0.6423623628788389,0.10138535019611868,5.427746018440905,6.942215286624204,1.2790236063069
mobilenet_v2_fp16_fast_BS16,mobilenet_v2,fp16,fast,16,energy_per_img_J_avg_power_times_meta_duration,4,0.12281679146965173,0.02445850186876544,0.1991462370583845,0.10011359613313296,0.15476831503268063,1.5459270369917266
mobilenet_v2_fp16_fast_BS16,mobilenet_v2,fp16,fast,16,energy_per_img_J_integrated_log_timestamps,4,0.1251703475,0.024852621404079116,0.19855039073115233,0.10206171,0.15766522,1.5448028452590103
mobilenet_v2_fp16_fast_BS16,mobilenet_v2,fp16,fast,16,energy_per_img_J_power_over_throughput_proxy,4,0.022235790349117043,0.0047670948155319,0.21438836851244175,0.017634534612067796,0.02786484113379604,1.580129090264019
mobilenet_v2_fp16_fast_BS4,mobilenet_v2,fp16,fast,4,throughput_img_s,4,110.85467097269242,27.02318466686467,0.2437712766611474,86.22507399204038,134.82239869249736,1.5636101246482328
mobilenet_v2_fp16_fast_BS4,mobilenet_v2,fp16,fast,4,latency_avg_ms,4,37.76834682450718,9.21869849668459,0.24408530613001966,29.668660688371165,46.39021823709016,1.5636101246482328
