dataset,prefix,in_cartesian_grid,in_manifest,available_kinds,missing_kinds
fixed_2026-03,mobilenet_v2_fp16_fast_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
fixed_2026-03,mobilenet_v2_fp16_fast_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
fixed_2026-03,mobilenet_v2_fp16_fast_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
fixed_2026-03,mobilenet_v2_fp16_medium_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
fixed_2026-03,mobilenet_v2_fp16_medium_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
fixed_2026-03,mobilenet_v2_fp16_medium_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
fixed_2026-03,mobilenet_v2_fp16_slow_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
fixed_2026-03,mobilenet_v2_fp16_slow_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
fixed_2026-03,mobilenet_v2_fp16_slow_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
fixed_2026-03,mobilenet_v2_fp32_fast_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
fixed_2026-03,mobilenet_v2_fp32_fast_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
fixed_2026-03,mobilenet_v2_fp32_fast_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
fixed_2026-03,mobilenet_v2_fp32_medium_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
fixed_2026-03,mobilenet_v2_fp32_medium_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
fixed_2026-03,mobilenet_v2_fp32_medium_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
fixed_2026-03,mobilenet_v2_fp32_slow_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
fixed_2026-03,mobilenet_v2_fp32_slow_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
fixed_2026-03,mobilenet_v2_fp32_slow_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
fixed_2026-03,mobilenet_v2_fp64_fast_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
fixed_2026-03,mobilenet_v2_fp64_fast_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
fixed_2026-03,mobilenet_v2_fp64_fast_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
fixed_2026-03,mobilenet_v2_fp64_medium_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
fixed_2026-03,mobilenet_v2_fp64_medium_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
fixed_2026-03,mobilenet_v2_fp64_medium_BS64,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
fixed_2026-03,mobilenet_v2_fp64_slow_BS128,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
fixed_2026-03,mobilenet_v2_fp64_slow_BS32,True,True,bench_meta.json|perf.csv|tegrastats.log|tegrastats_power.csv,
