dataset,line,run_id,status,attempt,ts,attempts,duration_s
fixed_2026-03,1,resnet50_fp16_slow_BS32,running,1.0,1773064389.3423078,,
fixed_2026-03,2,resnet50_fp16_slow_BS32,done,,1773065899.1112475,1.0,1509.751
fixed_2026-03,3,resnet50_fp16_slow_BS64,running,1.0,1773065899.1119065,,
fixed_2026-03,4,resnet50_fp16_slow_BS64,done,,1773067432.6801314,1.0,1533.557
fixed_2026-03,5,resnet50_fp16_slow_BS128,running,1.0,1773067432.6807425,,
fixed_2026-03,6,resnet50_fp16_slow_BS128,done,,1773068980.388511,1.0,1547.694
fixed_2026-03,7,resnet50_fp32_slow_BS32,running,1.0,1773068980.3891702,,
fixed_2026-03,8,resnet50_fp32_slow_BS32,done,,1773071143.580786,1.0,2163.175
fixed_2026-03,9,resnet50_fp32_slow_BS64,running,1.0,1773071143.5817444,,
fixed_2026-03,10,resnet50_fp32_slow_BS64,done,,1773073305.9394598,1.0,2162.342
fixed_2026-03,11,resnet50_fp32_slow_BS128,running,1.0,1773073305.9404418,,
fixed_2026-03,12,resnet50_fp32_slow_BS128,done,,1773075555.6979475,1.0,2249.74
fixed_2026-03,13,resnet50_fp64_slow_BS32,running,1.0,1773075555.70523,,
fixed_2026-03,14,resnet50_fp64_slow_BS32,done,,1773121165.304676,1.0,45609.315
fixed_2026-03,15,resnet50_fp64_slow_BS64,running,1.0,1773121165.30581,,
fixed_2026-03,16,resnet50_fp64_slow_BS64,done,,1773168187.9030297,1.0,47022.31
fixed_2026-03,17,resnet50_fp64_slow_BS128,running,1.0,1773168187.9043906,,
fixed_2026-03,18,resnet50_fp64_slow_BS128,done,,1773215513.2204874,1.0,47325.018
fixed_2026-03,19,mobilenet_v2_fp16_slow_BS32,running,1.0,1773215513.2283294,,
fixed_2026-03,20,mobilenet_v2_fp16_slow_BS32,done,,1773216835.3810625,1.0,1322.142
fixed_2026-03,21,mobilenet_v2_fp16_slow_BS64,running,1.0,1773216835.382301,,
fixed_2026-03,22,mobilenet_v2_fp16_slow_BS64,done,,1773218143.3782248,1.0,1307.986
fixed_2026-03,23,mobilenet_v2_fp16_slow_BS128,running,1.0,1773218143.380116,,
fixed_2026-03,24,mobilenet_v2_fp16_slow_BS128,done,,1773219454.117566,1.0,1310.728
fixed_2026-03,25,mobilenet_v2_fp32_slow_BS32,running,1.0,1773219454.1200624,,
fixed_2026-03,26,mobilenet_v2_fp32_slow_BS32,done,,1773220892.267138,1.0,1438.138
fixed_2026-03,27,mobilenet_v2_fp32_slow_BS64,running,1.0,1773220892.2679148,,
fixed_2026-03,28,mobilenet_v2_fp32_slow_BS64,done,,1773222371.3065424,1.0,1479.027
fixed_2026-03,29,mobilenet_v2_fp32_slow_BS128,running,1.0,1773222371.308827,,
fixed_2026-03,30,mobilenet_v2_fp32_slow_BS128,done,,1773223867.0618157,1.0,1495.739
fixed_2026-03,31,mobilenet_v2_fp64_slow_BS32,running,1.0,1773223867.0684266,,
fixed_2026-03,32,mobilenet_v2_fp64_slow_BS32,done,,1773229310.1533184,1.0,5443.048
fixed_2026-03,33,mobilenet_v2_fp64_slow_BS64,running,1.0,1773229310.1545773,,
fixed_2026-03,34,mobilenet_v2_fp64_slow_BS64,done,,1773235232.493242,1.0,5922.3
fixed_2026-03,35,mobilenet_v2_fp64_slow_BS128,running,1.0,1773235232.4945228,,
fixed_2026-03,36,mobilenet_v2_fp64_slow_BS128,done,,1773241992.4962597,1.0,6759.945
fixed_2026-03,37,resnet50_fp16_medium_BS32,running,1.0,1773241992.499184,,
fixed_2026-03,38,resnet50_fp16_medium_BS32,done,,1773243089.4598985,1.0,1096.955
fixed_2026-03,39,resnet50_fp16_medium_BS64,running,1.0,1773243089.4607508,,
fixed_2026-03,40,resnet50_fp16_medium_BS64,done,,1773244146.3146293,1.0,1056.847
fixed_2026-03,41,resnet50_fp16_medium_BS128,running,1.0,1773244146.3162892,,
fixed_2026-03,42,resnet50_fp16_medium_BS128,done,,1773245177.3800418,1.0,1031.057
fixed_2026-03,43,resnet50_fp32_medium_BS32,running,1.0,1773245177.3813107,,
fixed_2026-03,44,resnet50_fp32_medium_BS32,done,,1773246615.34202,1.0,1437.952
fixed_2026-03,45,resnet50_fp32_medium_BS64,running,1.0,1773246615.3426604,,
fixed_2026-03,46,resnet50_fp32_medium_BS64,done,,1773248028.0129707,1.0,1412.661
fixed_2026-03,47,resnet50_fp32_medium_BS128,running,1.0,1773248028.0142965,,
fixed_2026-03,48,resnet50_fp32_medium_BS128,done,,1773249453.5725665,1.0,1425.546
fixed_2026-03,49,resnet50_fp64_medium_BS32,running,1.0,1773249453.5799818,,
fixed_2026-03,50,resnet50_fp64_medium_BS32,done,,1773272684.1603127,1.0,23230.46
fixed_2026-03,51,resnet50_fp64_medium_BS64,running,1.0,1773272684.1618655,,
fixed_2026-03,52,resnet50_fp64_medium_BS64,done,,1773296630.2147586,1.0,23945.932
fixed_2026-03,53,resnet50_fp64_medium_BS128,running,1.0,1773296630.2225366,,
fixed_2026-03,54,resnet50_fp64_medium_BS128,done,,1773320903.7334867,1.0,24273.382
fixed_2026-03,55,mobilenet_v2_fp16_medium_BS32,running,1.0,1773320903.7641425,,
fixed_2026-03,56,mobilenet_v2_fp16_medium_BS32,done,,1773321878.2801945,1.0,974.508
fixed_2026-03,57,mobilenet_v2_fp16_medium_BS64,running,1.0,1773321878.2812932,,
fixed_2026-03,58,mobilenet_v2_fp16_medium_BS64,done,,1773322804.1572845,1.0,925.87
fixed_2026-03,59,mobilenet_v2_fp16_medium_BS128,running,1.0,1773322804.1578343,,
fixed_2026-03,60,mobilenet_v2_fp16_medium_BS128,done,,1773323711.5074604,1.0,907.342
fixed_2026-03,61,mobilenet_v2_fp32_medium_BS32,running,1.0,1773323711.509276,,
fixed_2026-03,62,mobilenet_v2_fp32_medium_BS32,done,,1773324757.4730673,1.0,1045.955
fixed_2026-03,63,mobilenet_v2_fp32_medium_BS64,running,1.0,1773324757.473837,,
fixed_2026-03,64,mobilenet_v2_fp32_medium_BS64,done,,1773325777.6069875,1.0,1020.123
fixed_2026-03,65,mobilenet_v2_fp32_medium_BS128,running,1.0,1773325777.6083868,,
fixed_2026-03,66,mobilenet_v2_fp32_medium_BS128,done,,1773326794.115083,1.0,1016.497
fixed_2026-03,67,mobilenet_v2_fp64_medium_BS32,running,1.0,1773326794.1161633,,
fixed_2026-03,68,mobilenet_v2_fp64_medium_BS32,done,,1773329790.3063636,1.0,2996.168
fixed_2026-03,69,mobilenet_v2_fp64_medium_BS64,running,1.0,1773329790.3074884,,
fixed_2026-03,70,mobilenet_v2_fp64_medium_BS64,done,,1773333037.8375072,1.0,3247.507
fixed_2026-03,71,mobilenet_v2_fp64_medium_BS128,running,1.0,1773333037.8449144,,
fixed_2026-03,72,mobilenet_v2_fp64_medium_BS128,done,,1773337190.8612492,1.0,4152.98
fixed_2026-03,73,resnet50_fp16_fast_BS32,running,1.0,1773337190.8699791,,
fixed_2026-03,74,resnet50_fp16_fast_BS32,done,,1773338158.4094074,1.0,967.535
fixed_2026-03,75,resnet50_fp16_fast_BS64,running,1.0,1773338158.4101572,,
fixed_2026-03,76,resnet50_fp16_fast_BS64,done,,1773339129.4222243,1.0,971.008
fixed_2026-03,77,resnet50_fp16_fast_BS128,running,1.0,1773339129.4226038,,
fixed_2026-03,78,resnet50_fp16_fast_BS128,done,,1773340107.0057974,1.0,977.578
fixed_2026-03,79,resnet50_fp32_fast_BS32,running,1.0,1773340107.0074382,,
fixed_2026-03,80,resnet50_fp32_fast_BS32,done,,1773341425.5998182,1.0,1318.585
