dataset,prefix,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,latency_iterations_gt5x_p50,throughput_img_s,throughput_img_s_excluding_gt5x_p50_sensitivity,throughput_sensitivity_percent_increase_excluding_gt5x_p50
Clone2,mobilenet_v2_fp64_fast_BS128,13791.8077985495,11537.468366965186,12314.504212001339,73190.95496799565,288100.88244697545,6,9.271970703152592,10.815277678276953,16.64486466290944
Clone3,resnet50_fp64_fast_BS128,58776.25780251837,52729.10186205991,55595.52898450056,264100.23341641657,745585.574556957,4,2.1756614427770407,2.355085324794028,8.2468659180708
fixed_2026-03,resnet50_fp64_fast_BS128,57309.47842397947,52906.25372802606,55877.976288000355,179437.34819520722,639061.2622079789,3,2.2313453440566637,2.355369629171837,5.558273865832564
fixed_2026-03,mobilenet_v2_fp64_medium_BS128,6511.51164562654,5861.086464021355,7695.513456012122,9144.237158430062,126119.14121598238,1,19.63864073522025,20.609270125154616,4.942446898545394
Clone2,mobilenet_v2_fp64_slow_BS128,12553.043284146783,11551.050559966823,12192.844689474441,30135.161388060165,241366.6603490128,1,10.18695108087123,10.686384048042617,4.9026736577660435
fixed_2026-03,mobilenet_v2_fp64_fast_BS128,6151.053315929799,5808.822655992117,6442.512159992475,7106.803935987413,100082.79305603357,1,20.78948617149685,21.636639137725084,4.0749105544980235
Clone1,mobilenet_v2_fp64_slow_BS128,11903.3309145367,11551.022384956012,11870.877748500789,12593.675607198387,132474.1499510128,1,10.742979319804922,11.029411185071222,2.666223742405016
random_2026-03,resnet50_fp64_medium_BS128,55594.583174004016,52907.04227803508,55485.48522000783,111726.42835893395,340488.2570420159,2,2.3001744153998387,2.3545650450612943,2.3646306687573837
Clone3,resnet50_fp64_medium_BS128,55355.227951592795,52731.61698994227,53951.34844345739,162659.57748790993,298014.4288749434,2,2.310120337025599,2.362513515917583,2.267984834047354
random_2026-03,resnet50_fp64_slow_BS128,107584.46229274933,104772.11856798384,105513.12048500404,119597.93238722526,583201.2454899959,2,1.188621805848638,1.2145970731549967,2.1853264998628497
fixed_2026-03,mobilenet_v2_fp64_slow_BS128,12036.002388295388,11552.581727999495,12318.687295992277,14714.483795210259,108735.2249280084,1,10.624560691016375,10.848008078995234,2.1031211969808172
Clone1,resnet50_fp64_slow_BS128,108497.32846322755,104781.19473694824,106501.26994744642,167246.34211030998,614910.6049530674,1,1.1786210744811398,1.1928947325117507,1.211047243228247
random_2026-03,mobilenet_v2_fp16_medium_BS32,108.6682559018052,108.29175700200722,115.69198901415803,119.08737207530066,914.5153110148384,1,294.3800193559594,295.8789188192298,0.5091716029334004
Clone2,mobilenet_v2_fp16_slow_BS32,151.6055183187446,150.74819995788857,157.09940873202868,160.01870085834526,1042.7905339747667,1,211.00658887953242,211.87145232520407,0.40987508980840914
Clone1,mobilenet_v2_fp32_fast_BS32,155.779811539431,154.40797503106296,159.628253208939,160.01761803403497,956.9563530385494,1,205.35243276792968,206.0967350423358,0.3624511598785185
fixed_2026-03,mobilenet_v2_fp16_fast_BS128,317.2100929293574,315.9189760335721,321.39377601561137,322.1179296204355,323.54899198981,0,403.1310500581727,403.1310500581727,0.0
fixed_2026-03,mobilenet_v2_fp16_fast_BS32,85.83467663757345,85.32083197496831,90.35742079722695,90.6823532807175,253.0145280179568,0,372.6904385138499,372.6904385138499,0.0
fixed_2026-03,mobilenet_v2_fp16_fast_BS64,162.1389463312401,161.1896000104025,166.40767360513564,166.81366687000263,257.23647995619103,0,394.34460610844513,394.34460610844513,0.0
fixed_2026-03,mobilenet_v2_fp16_medium_BS128,354.10912720340036,353.4611200157088,367.70185601199046,370.9459487930871,372.14387199492194,0,361.12381192086497,361.12381192086497,0.0
fixed_2026-03,mobilenet_v2_fp16_medium_BS32,125.12233751504674,125.0187199912034,132.3038624104811,134.61989118892234,274.4215359853115,0,255.66788401715075,255.66788401715075,0.0
fixed_2026-03,mobilenet_v2_fp16_medium_BS64,195.86329546708214,195.92697598272932,204.80220798926888,208.67096735310042,247.69750400446355,0,326.44512987160005,326.44512987160005,0.0
fixed_2026-03,mobilenet_v2_fp16_slow_BS128,538.4373155193549,539.0835519938264,548.2047839905135,549.9391135905171,554.5214719895739,0,237.49698277935508,237.49698277935508,0.0
fixed_2026-03,mobilenet_v2_fp16_slow_BS32,163.47819569543964,162.68227199907415,169.81567361799534,174.7876601445023,349.8967040213756,0,195.68214060392972,195.68214060392972,0.0
fixed_2026-03,mobilenet_v2_fp16_slow_BS64,287.25129612339657,287.24624001188204,295.20962401875295,299.6273923345143,307.9394240048714,0,222.5877473442788,222.5877473442788,0.0
fixed_2026-03,mobilenet_v2_fp32_fast_BS128,615.9631125947527,615.735104016494,620.3375839977525,622.3458720080089,624.6794880134985,0,207.60535044538278,207.60535044538278,0.0
fixed_2026-03,mobilenet_v2_fp32_fast_BS32,156.06555962639843,155.20668803947046,160.45219202060252,160.97091006231494,263.8338559772819,0,204.97644292777522,204.97644292777522,0.0
fixed_2026-03,mobilenet_v2_fp32_fast_BS64,312.0738949971762,310.805696004536,316.1794768006075,316.7878505779663,317.46879999991506,0,204.88294583694594,204.88294583694594,0.0
fixed_2026-03,mobilenet_v2_fp32_medium_BS128,640.2742940960202,640.5654400005005,651.7782880109735,655.7452671870125,660.7828160049394,0,199.7225861335064,199.7225861335064,0.0
fixed_2026-03,mobilenet_v2_fp32_medium_BS32,182.74634975810167,182.75062399334277,190.87108800304125,193.9935859275283,264.7674559848383,0,175.05008071622817,175.05008071622817,0.0
fixed_2026-03,mobilenet_v2_fp32_medium_BS64,335.8515161121606,335.8171519939788,345.1229952072026,348.57604927994544,351.61478401278146,0,190.37763969622318,190.37763969622318,0.0
