scope,exposure,outcome,outcome_scale,n_successors,n_exposed,n_reference,n_informative_configurations,n_nominal_blocks,fixed_effect_coefficient_analysis_scale,reported_effect_exposed_vs_reference,leave_one_block_out_effect_min_reported_scale,leave_one_block_out_effect_max_reported_scale,leave_one_block_out_effects_reported_scale,board_exposed_reference_counts,interpretation
primary_successors_slow_medium_only,predecessor_fp64,forward_throughput,ratio,249,70,179,52,3,0.0023597876602535913,1.002362574150565,1.001154210532894,1.0051967457442124,omit_Clone1:1.00117036|omit_Clone2:1.00115421|omit_Clone3:1.00519675,Clone1:25/58|Clone2:23/60|Clone3:22/61,configuration- and physical-board-fixed-effect ratio; range omits one physical board at a time
primary_successors_slow_medium_only,predecessor_fp64,logged_energy_per_evaluated_image,ratio,249,70,179,52,3,-0.0008321149067517232,0.9991682312048491,0.998071856364731,1.0006550994878423,omit_Clone1:0.998543613|omit_Clone2:1.0006551|omit_Clone3:0.998071856,Clone1:25/58|Clone2:23/60|Clone3:22/61,configuration- and physical-board-fixed-effect ratio; range omits one physical board at a time
primary_successors_slow_medium_only,predecessor_fp64,logged_window_throughput,ratio,249,70,179,52,3,-0.00030026815970175726,0.9996997769162703,0.9976978129738228,1.0042346292630253,omit_Clone1:0.997697813|omit_Clone2:0.997807113|omit_Clone3:1.00423463,Clone1:25/58|Clone2:23/60|Clone3:22/61,configuration- and physical-board-fixed-effect ratio; range omits one physical board at a time
primary_successors_slow_medium_only,predecessor_fp64,average_input_power,ratio,249,70,179,52,3,-0.0011323830664534225,0.9988682578373121,0.9962447792003148,1.002298320654295,omit_Clone1:0.996244779|omit_Clone2:0.998460776|omit_Clone3:1.00229832,Clone1:25/58|Clone2:23/60|Clone3:22/61,configuration- and physical-board-fixed-effect ratio; range omits one physical board at a time
primary_successors_slow_medium_only,predecessor_fp64,logged_duration,ratio,249,70,179,52,3,0.00030026815970176014,1.0003003132446981,0.9957832272064419,1.0023074993211774,omit_Clone1:1.0023075|omit_Clone2:1.00219771|omit_Clone3:0.995783227,Clone1:25/58|Clone2:23/60|Clone3:22/61,configuration- and physical-board-fixed-effect ratio; range omits one physical board at a time
primary_successors_slow_medium_only,predecessor_fp64,start_temperature,delta_C,249,70,179,52,3,-0.8226123867335258,-0.8226123867335258,-1.001467758800975,-0.6782876033057842,omit_Clone1:-1.00146776|omit_Clone2:-0.678287603|omit_Clone3:-0.773648957,Clone1:25/58|Clone2:23/60|Clone3:22/61,configuration- and physical-board-fixed-effect difference in degrees C; range omits one physical board at a time
primary_successors_slow_medium_only,predecessor_fp64,maximum_temperature,delta_C,249,70,179,52,3,-0.13940256883962332,-0.13940256883962332,-0.42813872429417865,0.02114010232192056,omit_Clone1:-0.428138724|omit_Clone2:-0.00206876033|omit_Clone3:0.0211401023,Clone1:25/58|Clone2:23/60|Clone3:22/61,configuration- and physical-board-fixed-effect difference in degrees C; range omits one physical board at a time
primary_successors_slow_medium_only,predecessor_duration_upper_quartile,forward_throughput,ratio,249,52,197,42,3,0.0007653641665928793,1.0007656571324837,0.999003459380338,1.0033192836006888,omit_Clone1:1.00055219|omit_Clone2:0.999003459|omit_Clone3:1.00331928,Clone1:18/65|Clone2:17/66|Clone3:17/66,configuration- and physical-board-fixed-effect ratio; range omits one physical board at a time
primary_successors_slow_medium_only,predecessor_duration_upper_quartile,logged_energy_per_evaluated_image,ratio,249,52,197,42,3,0.0010485840161559197,1.0010491339725838,0.9993055307411927,1.0036853255521387,omit_Clone1:0.999305531|omit_Clone2:1.00368533|omit_Clone3:0.999679929,Clone1:18/65|Clone2:17/66|Clone3:17/66,configuration- and physical-board-fixed-effect ratio; range omits one physical board at a time
primary_successors_slow_medium_only,predecessor_duration_upper_quartile,logged_window_throughput,ratio,249,52,197,42,3,-0.0034083498941959544,0.9965974519368761,0.9924659098682866,1.00317343141091,omit_Clone1:0.99552172|omit_Clone2:0.99246591|omit_Clone3:1.00317343,Clone1:18/65|Clone2:17/66|Clone3:17/66,configuration- and physical-board-fixed-effect ratio; range omits one physical board at a time
primary_successors_slow_medium_only,predecessor_duration_upper_quartile,average_input_power,ratio,249,52,197,42,3,-0.0023597658780399383,0.9976430161806936,0.9948303605599487,1.0028523450674143,omit_Clone1:0.994830361|omit_Clone2:0.99612347|omit_Clone3:1.00285235,Clone1:18/65|Clone2:17/66|Clone3:17/66,configuration- and physical-board-fixed-effect ratio; range omits one physical board at a time
primary_successors_slow_medium_only,predecessor_duration_upper_quartile,logged_duration,ratio,249,52,197,42,3,0.0034083498941959328,1.003414164923371,0.9968366073985367,1.0075912835461656,omit_Clone1:1.00449843|omit_Clone2:1.00759128|omit_Clone3:0.996836607,Clone1:18/65|Clone2:17/66|Clone3:17/66,configuration- and physical-board-fixed-effect ratio; range omits one physical board at a time
primary_successors_slow_medium_only,predecessor_duration_upper_quartile,start_temperature,delta_C,249,52,197,42,3,-1.2349945551562653,-1.2349945551562653,-1.2868928571428564,-1.1850416666666652,omit_Clone1:-1.28689286|omit_Clone2:-1.21446911|omit_Clone3:-1.18504167,Clone1:18/65|Clone2:17/66|Clone3:17/66,configuration- and physical-board-fixed-effect difference in degrees C; range omits one physical board at a time
primary_successors_slow_medium_only,predecessor_duration_upper_quartile,maximum_temperature,delta_C,249,52,197,42,3,-0.2319800718719371,-0.2319800718719371,-0.491142857142857,-0.08830696576151058,omit_Clone1:-0.491142857|omit_Clone2:-0.0883069658|omit_Clone3:-0.119666667,Clone1:18/65|Clone2:17/66|Clone3:17/66,configuration- and physical-board-fixed-effect difference in degrees C; range omits one physical board at a time
