dataset,sequence_index,campaign_run_count,sequence_fraction,prefix,model,precision,profile,batch,state_running_ts,state_done_ts,state_runner_duration_s,log_wall_span_s,log_start_gpu_or_tj_temp_C,log_end_gpu_or_tj_temp_C,max_gpu_or_tj_temp_C,predecessor_prefix,predecessor_model,predecessor_precision,predecessor_profile,predecessor_batch,predecessor_state_done_ts,predecessor_state_runner_duration_s,predecessor_log_wall_span_s,predecessor_max_gpu_or_tj_temp_C,predecessor_log_end_gpu_or_tj_temp_C,state_event_gap_s,predecessor_is_fp64,predecessor_in_duration_upper_quartile,successor_start_minus_predecessor_end_temp_C,configuration_id,adjusted_residual__forward_throughput,adjusted_residual__logged_energy_per_evaluated_image,adjusted_residual__logged_window_throughput,adjusted_residual__average_input_power,adjusted_residual__logged_duration,adjusted_residual__start_temperature,adjusted_residual__maximum_temperature
Clone1,2,126,0.008,resnet50_fp16_fast_BS128,resnet50,fp16,fast,128,1782847558.0700676,1782849042.1104386,1484.014,1481.0,52.125,40.843,52.187,resnet50_fp32_slow_BS8,resnet50,fp32,slow,8.0,1782847558.0688913,2325.602,2322.0,53.656,52.281,0.0011763572692871094,False,False,-0.1559999999999988,,,,,,,,
Clone1,3,126,0.016,resnet50_fp64_fast_BS8,resnet50,fp64,fast,8,1782849042.1179512,1782894168.717674,45126.319,45120.0,40.812,40.0,42.062,resnet50_fp16_fast_BS128,resnet50,fp16,fast,128.0,1782849042.1104386,1484.014,1481.0,52.187,40.843,0.007512569427490234,False,False,-0.03100000000000591,,,,,,,,
Clone1,4,126,0.024,mobilenet_v2_fp32_medium_BS128,mobilenet_v2,fp32,medium,128,1782894168.7182426,1782895148.190725,979.465,975.0,39.968,43.468,44.531,resnet50_fp64_fast_BS8,resnet50,fp64,fast,8.0,1782894168.717674,45126.319,45120.0,42.062,40.0,0.0005686283111572266,True,True,-0.031999999999996476,mobilenet_v2|fp32|B128|medium,0.00021596447176808198,0.030408472791820906,-0.0013952499174272326,0.029013222874394007,0.0013952499174267885,0.5150277777777745,1.1735476190476106
Clone1,5,126,0.032,resnet50_fp32_medium_BS1,resnet50,fp32,medium,1,1782895148.1912737,1782897371.261769,2223.056,2220.0,43.187,45.125,46.531,mobilenet_v2_fp32_medium_BS128,mobilenet_v2,fp32,medium,128.0,1782895148.190725,979.465,975.0,44.531,43.468,0.0005486011505126953,False,False,-0.2810000000000059,resnet50|fp32|B1|medium,0.01522984215321177,0.027642363262872505,0.005231100416834167,0.03287346367970678,-0.005231100416835943,2.7026944444444396,2.621547619047618
Clone1,6,126,0.04,resnet50_fp64_slow_BS8,resnet50,fp64,slow,8,1782897371.2623923,1782942488.384081,45116.842,45112.0,44.781,38.812,45.125,resnet50_fp32_medium_BS1,resnet50,fp32,medium,1.0,1782897371.261769,2223.056,2220.0,46.531,45.125,0.0006232261657714844,False,False,-0.3440000000000012,resnet50|fp64|B8|slow,-0.0028810373276648704,6.238887752252342e-05,-0.002514769599629929,-0.0024523807221070726,0.002514769599629041,4.182027777777776,3.5905476190476193
Clone1,7,126,0.048,resnet50_fp64_medium_BS128,resnet50,fp64,medium,128,1782942488.3851287,1782966463.873531,23975.362,23971.0,38.5,37.718,41.593,resnet50_fp64_slow_BS8,resnet50,fp64,slow,8.0,1782942488.384081,45116.842,45112.0,45.125,38.812,0.0010478496551513672,True,True,-0.3119999999999976,resnet50|fp64|B128|medium,0.024999182381762353,-0.023006601006971272,0.031468636130973504,0.008462035124002787,-0.03146863613097395,0.07802777777776981,-0.5141190476190545
Clone1,8,126,0.056,resnet50_fp64_fast_BS16,resnet50,fp64,fast,16,1782966463.8746588,1782987966.8072762,21502.845,21499.0,37.906,41.718,42.718,resnet50_fp64_medium_BS128,resnet50,fp64,medium,128.0,1782966463.873531,23975.362,23971.0,41.593,37.718,0.0011277198791503906,True,True,0.18799999999999528,,,,,,,,
Clone1,9,126,0.064,resnet50_fp64_fast_BS32,resnet50,fp64,fast,32,1782987966.8081806,1783010995.3622282,23028.46,23024.0,41.312,40.5,43.125,resnet50_fp64_fast_BS16,resnet50,fp64,fast,16.0,1782987966.8072762,21502.845,21499.0,42.718,41.718,0.0009043216705322266,True,True,-0.4060000000000059,,,,,,,,
Clone1,10,126,0.072,mobilenet_v2_fp64_fast_BS128,mobilenet_v2,fp64,fast,128,1783010995.3629262,1783014273.555586,3278.136,3274.0,40.781,39.312,40.781,resnet50_fp64_fast_BS32,resnet50,fp64,fast,32.0,1783010995.3622282,23028.46,23024.0,43.125,40.5,0.000698089599609375,True,True,0.2809999999999988,,,,,,,,
Clone1,11,126,0.08,resnet50_fp16_medium_BS64,resnet50,fp16,medium,64,1783014273.5567226,1783015264.7705266,991.209,988.0,39.156,40.062,41.625,mobilenet_v2_fp64_fast_BS128,mobilenet_v2,fp64,fast,128.0,1783014273.555586,3278.136,3274.0,40.781,39.312,0.0011365413665771484,True,False,-0.1559999999999988,resnet50|fp16|B64|medium,0.002693569394183193,-0.015445006639744352,0.02696758673784938,0.01152258009810514,-0.02696758673785027,0.7236944444444404,-0.18045238095238858
