scope,outcome,outcome_scale,n_runs,n_nominal_blocks,fixed_effect_slope_per_full_sequence,reported_end_vs_start_effect,leave_one_block_out_end_vs_start_effect_min,leave_one_block_out_end_vs_start_effect_max,leave_one_block_out_effects_reported_scale,pooled_fixed_effect_residual_spearman_rho,median_board_spearman_rho,minimum_board_spearman_rho,maximum_board_spearman_rho,reported_late_vs_early_quartile_effect,leave_one_block_out_slopes_analysis_scale,board_spearman_rhos,interpretation
primary_slow_medium_configuration_and_block_centred,forward_throughput,ratio,252,3,-0.002734621620745507,0.9972691140509667,0.9951776567060617,0.9995397079507995,omit_Clone1:0.999539708|omit_Clone2:0.995177657|omit_Clone3:0.997630661,-0.06376981347700664,-0.05367041445049255,-0.05938067925903392,-0.0282578541864659,0.9995541758530851,omit_Clone1:-0.000460398016|omit_Clone2:-0.00483400831|omit_Clone3:-0.00237215044,Clone1:-0.0593806793|Clone2:-0.0536704145|Clone3:-0.0282578542,descriptive sequence slope with configuration and physical-board fixed effects; range omits one physical board at a time; no repeated anchor or causal drift estimate
primary_slow_medium_configuration_and_block_centred,logged_energy_per_evaluated_image,ratio,252,3,-0.007886806409488452,0.9921442128469906,0.9891117898144323,0.9953293289691897,omit_Clone1:0.98911179|omit_Clone2:0.991521577|omit_Clone3:0.995329329,-0.08196206850527439,-0.06995074390463178,-0.13625732771102045,-0.02531145748466919,0.99665663233525,omit_Clone1:-0.0109479206|omit_Clone2:-0.00851456932|omit_Clone3:-0.0046816127,Clone1:-0.0699507439|Clone2:-0.0253114575|Clone3:-0.136257328,descriptive sequence slope with configuration and physical-board fixed effects; range omits one physical board at a time; no repeated anchor or causal drift estimate
primary_slow_medium_configuration_and_block_centred,logged_window_throughput,ratio,252,3,0.003884091594735052,1.003891644453993,1.000504736995663,1.0106254527823983,omit_Clone1:1.01062545|omit_Clone2:1.00050474|omit_Clone3:1.00196602,0.008821112179263737,0.02196022051369899,0.006054500630332871,0.02787311808503784,1.0021908799314794,omit_Clone1:0.0105693994|omit_Clone2:0.000504609659|omit_Clone3:0.00196409416,Clone1:0.0219602205|Clone2:0.00605450063|Clone3:0.0278731181,descriptive sequence slope with configuration and physical-board fixed effects; range omits one physical board at a time; no repeated anchor or causal drift estimate
primary_slow_medium_configuration_and_block_centred,average_input_power,ratio,252,3,-0.004002714814753367,0.9960052853704779,0.9920220345815883,0.9996215504336191,omit_Clone1:0.99962155|omit_Clone2:0.992022035|omit_Clone3:0.997286171,-0.06757353613857124,-0.03798743539299152,-0.15125191103246655,0.07950835025084287,0.9988401873496092,omit_Clone1:-0.000378521196|omit_Clone2:-0.00800995966|omit_Clone3:-0.00271751854,Clone1:-0.0379874354|Clone2:0.0795083503|Clone3:-0.151251911,descriptive sequence slope with configuration and physical-board fixed effects; range omits one physical board at a time; no repeated anchor or causal drift estimate
primary_slow_medium_configuration_and_block_centred,logged_duration,ratio,252,3,-0.0038840915947350027,0.9961234417324893,0.9894862604606435,0.9994955176352505,omit_Clone1:0.98948626|omit_Clone2:0.999495518|omit_Clone3:0.998037833,-0.008821112179263737,-0.02196022051369899,-0.02787311808503784,-0.006054500630332871,0.9978139095302593,omit_Clone1:-0.0105693994|omit_Clone2:-0.000504609659|omit_Clone3:-0.00196409416,Clone1:-0.0219602205|Clone2:-0.00605450063|Clone3:-0.0278731181,descriptive sequence slope with configuration and physical-board fixed effects; range omits one physical board at a time; no repeated anchor or causal drift estimate
primary_slow_medium_configuration_and_block_centred,start_temperature,delta_C,252,3,0.3629019642831676,0.3629019642831676,-0.12898360634146244,0.6923851014469828,omit_Clone1:0.600310855|omit_Clone2:-0.128983606|omit_Clone3:0.692385101,0.16980547387681216,0.13017308150032394,0.0966700078009231,0.2719982990614464,0.20820245728700792,omit_Clone1:0.600310855|omit_Clone2:-0.128983606|omit_Clone3:0.692385101,Clone1:0.130173082|Clone2:0.271998299|Clone3:0.0966700078,descriptive sequence slope with configuration and physical-board fixed effects; range omits one physical board at a time; no repeated anchor or causal drift estimate
primary_slow_medium_configuration_and_block_centred,maximum_temperature,delta_C,252,3,-0.0443704729088231,-0.0443704729088231,-0.4257259085894747,0.204629045508304,omit_Clone1:0.147478733|omit_Clone2:-0.425725909|omit_Clone3:0.204629046,0.19427668154916894,0.19354250828680833,0.12238595922987246,0.30259341193772327,0.001011777482923637,omit_Clone1:0.147478733|omit_Clone2:-0.425725909|omit_Clone3:0.204629046,Clone1:0.122385959|Clone2:0.302593412|Clone3:0.193542508,descriptive sequence slope with configuration and physical-board fixed effects; range omits one physical board at a time; no repeated anchor or causal drift estimate
historical_randomized_minus_ordered_matched_diagnostic,forward_throughput,ratio,54,1,-0.2097687956244466,0.810771678261358,,,not_applicable,-0.3526205450733752,-0.3526205450733752,,,,not_applicable,not_applicable,"configuration-matched randomized/ordered campaign difference versus randomized position; campaigns differ in date, EMC, temperature, and realized clocks, so this is not an isolated drift estimate"
historical_randomized_minus_ordered_matched_diagnostic,logged_energy_per_evaluated_image,ratio,54,1,0.10956905643694537,1.1157971212482545,,,not_applicable,0.2984181437011625,0.2984181437011625,,,,not_applicable,not_applicable,"configuration-matched randomized/ordered campaign difference versus randomized position; campaigns differ in date, EMC, temperature, and realized clocks, so this is not an isolated drift estimate"
historical_randomized_minus_ordered_matched_diagnostic,logged_window_throughput,ratio,54,1,-0.19349328733140633,0.8240753679213856,,,not_applicable,-0.3776253097007814,-0.3776253097007814,,,,not_applicable,not_applicable,"configuration-matched randomized/ordered campaign difference versus randomized position; campaigns differ in date, EMC, temperature, and realized clocks, so this is not an isolated drift estimate"
historical_randomized_minus_ordered_matched_diagnostic,average_input_power,ratio,54,1,-0.08392423089446097,0.9195009232182781,,,not_applicable,-0.2948351438917476,-0.2948351438917476,,,,not_applicable,not_applicable,"configuration-matched randomized/ordered campaign difference versus randomized position; campaigns differ in date, EMC, temperature, and realized clocks, so this is not an isolated drift estimate"
historical_randomized_minus_ordered_matched_diagnostic,logged_duration,ratio,54,1,0.1934932873314064,1.213481240826746,,,not_applicable,0.3776253097007814,0.3776253097007814,,,,not_applicable,not_applicable,"configuration-matched randomized/ordered campaign difference versus randomized position; campaigns differ in date, EMC, temperature, and realized clocks, so this is not an isolated drift estimate"
historical_randomized_minus_ordered_matched_diagnostic,start_temperature,delta_C,54,1,-1.971076767676763,-1.971076767676763,,,not_applicable,-0.07074653606270702,-0.07074653606270702,,,,not_applicable,not_applicable,"configuration-matched randomized/ordered campaign difference versus randomized position; campaigns differ in date, EMC, temperature, and realized clocks, so this is not an isolated drift estimate"
historical_randomized_minus_ordered_matched_diagnostic,maximum_temperature,delta_C,54,1,-2.259711111111108,-2.259711111111108,,,not_applicable,-0.06533381616997837,-0.06533381616997837,,,,not_applicable,not_applicable,"configuration-matched randomized/ordered campaign difference versus randomized position; campaigns differ in date, EMC, temperature, and realized clocks, so this is not an isolated drift estimate"
