dataset,file_type,header,rows,header_exact,duplicate_rows,duplicate_prefixes,exact_paths_existing,basenames_existing_locally
fixed_2026-03,grid_manifest.csv,prefix|profile|model|precision|batch|power_csv|perf_csv|bench_meta|avg_power_W|power_samples|throughput_img_s|latency_avg_ms|latency_p50_ms|top1|duration_s|timestamp,54,True,0.0,0.0,,
fixed_2026-03,grid_manifest.csv:power_csv_path_check,,54,,,,0.0,54.0
fixed_2026-03,grid_manifest.csv:perf_csv_path_check,,54,,,,0.0,54.0
fixed_2026-03,grid_manifest.csv:bench_meta_path_check,,54,,,,0.0,54.0
fixed_2026-03,grid_manifest_enriched.csv,prefix|profile|model|precision|batch|power_csv|perf_csv|bench_meta|avg_power_W|power_samples|throughput_img_s|latency_avg_ms|latency_p50_ms|top1|duration_s|timestamp|energy_J|energy_per_img_J|energy_per_inference_J|energy_J_integrated|energy_per_img_J_integrated|edp_Js|edp_per_img_Js,54,True,0.0,0.0,,
fixed_2026-03,grid_manifest_enriched.csv:power_csv_path_check,,54,,,,0.0,54.0
fixed_2026-03,grid_manifest_enriched.csv:perf_csv_path_check,,54,,,,0.0,54.0
fixed_2026-03,grid_manifest_enriched.csv:bench_meta_path_check,,54,,,,0.0,54.0
random_2026-03,grid_manifest.csv,prefix|profile|model|precision|batch|power_csv|perf_csv|bench_meta|avg_power_W|power_samples|throughput_img_s|latency_avg_ms|latency_p50_ms|top1|duration_s|timestamp,54,True,0.0,0.0,,
random_2026-03,grid_manifest.csv:power_csv_path_check,,54,,,,0.0,54.0
random_2026-03,grid_manifest.csv:perf_csv_path_check,,54,,,,0.0,54.0
random_2026-03,grid_manifest.csv:bench_meta_path_check,,54,,,,0.0,54.0
random_2026-03,grid_manifest_enriched.csv,prefix|profile|model|precision|batch|power_csv|perf_csv|bench_meta|avg_power_W|power_samples|throughput_img_s|latency_avg_ms|latency_p50_ms|top1|duration_s|timestamp|energy_J|energy_per_img_J|energy_per_inference_J|energy_J_integrated|energy_per_img_J_integrated|edp_Js|edp_per_img_Js,54,True,0.0,0.0,,
