dataset,prefix,actual_position,base_fixed_position,previous_prefix
fixed_2026-03,resnet50_fp16_slow_BS32,1,1,
fixed_2026-03,resnet50_fp16_slow_BS64,2,2,resnet50_fp16_slow_BS32
fixed_2026-03,resnet50_fp16_slow_BS128,3,3,resnet50_fp16_slow_BS64
fixed_2026-03,resnet50_fp32_slow_BS32,4,4,resnet50_fp16_slow_BS128
fixed_2026-03,resnet50_fp32_slow_BS64,5,5,resnet50_fp32_slow_BS32
fixed_2026-03,resnet50_fp32_slow_BS128,6,6,resnet50_fp32_slow_BS64
fixed_2026-03,resnet50_fp64_slow_BS32,7,7,resnet50_fp32_slow_BS128
fixed_2026-03,resnet50_fp64_slow_BS64,8,8,resnet50_fp64_slow_BS32
fixed_2026-03,resnet50_fp64_slow_BS128,9,9,resnet50_fp64_slow_BS64
fixed_2026-03,mobilenet_v2_fp16_slow_BS32,10,10,resnet50_fp64_slow_BS128
fixed_2026-03,mobilenet_v2_fp16_slow_BS64,11,11,mobilenet_v2_fp16_slow_BS32
fixed_2026-03,mobilenet_v2_fp16_slow_BS128,12,12,mobilenet_v2_fp16_slow_BS64
fixed_2026-03,mobilenet_v2_fp32_slow_BS32,13,13,mobilenet_v2_fp16_slow_BS128
fixed_2026-03,mobilenet_v2_fp32_slow_BS64,14,14,mobilenet_v2_fp32_slow_BS32
fixed_2026-03,mobilenet_v2_fp32_slow_BS128,15,15,mobilenet_v2_fp32_slow_BS64
fixed_2026-03,mobilenet_v2_fp64_slow_BS32,16,16,mobilenet_v2_fp32_slow_BS128
fixed_2026-03,mobilenet_v2_fp64_slow_BS64,17,17,mobilenet_v2_fp64_slow_BS32
fixed_2026-03,mobilenet_v2_fp64_slow_BS128,18,18,mobilenet_v2_fp64_slow_BS64
fixed_2026-03,resnet50_fp16_medium_BS32,19,19,mobilenet_v2_fp64_slow_BS128
fixed_2026-03,resnet50_fp16_medium_BS64,20,20,resnet50_fp16_medium_BS32
fixed_2026-03,resnet50_fp16_medium_BS128,21,21,resnet50_fp16_medium_BS64
